ts,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo0_bytes_sent,lo0_bytes_recv,lo0_packets_sent,lo0_packets_recv,gif0_bytes_sent,gif0_bytes_recv,gif0_packets_sent,gif0_packets_recv,stf0_bytes_sent,stf0_bytes_recv,stf0_packets_sent,stf0_packets_recv,anpi1_bytes_sent,anpi1_bytes_recv,anpi1_packets_sent,anpi1_packets_recv,anpi0_bytes_sent,anpi0_bytes_recv,anpi0_packets_sent,anpi0_packets_recv,en3_bytes_sent,en3_bytes_recv,en3_packets_sent,en3_packets_recv,en4_bytes_sent,en4_bytes_recv,en4_packets_sent,en4_packets_recv,en1_bytes_sent,en1_bytes_recv,en1_packets_sent,en1_packets_recv,en2_bytes_sent,en2_bytes_recv,en2_packets_sent,en2_packets_recv,ap1_bytes_sent,ap1_bytes_recv,ap1_packets_sent,ap1_packets_recv,en0_bytes_sent,en0_bytes_recv,en0_packets_sent,en0_packets_recv,awdl0_bytes_sent,awdl0_bytes_recv,awdl0_packets_sent,awdl0_packets_recv,llw0_bytes_sent,llw0_bytes_recv,llw0_packets_sent,llw0_packets_recv,bridge0_bytes_sent,bridge0_bytes_recv,bridge0_packets_sent,bridge0_packets_recv,utun0_bytes_sent,utun0_bytes_recv,utun0_packets_sent,utun0_packets_recv,utun1_bytes_sent,utun1_bytes_recv,utun1_packets_sent,utun1_packets_recv,utun2_bytes_sent,utun2_bytes_recv,utun2_packets_sent,utun2_packets_recv,utun3_bytes_sent,utun3_bytes_recv,utun3_packets_sent,utun3_packets_recv,utun4_bytes_sent,utun4_bytes_recv,utun4_packets_sent,utun4_packets_recv,utun5_bytes_sent,utun5_bytes_recv,utun5_packets_sent,utun5_packets_recv,utun6_bytes_sent,utun6_bytes_recv,utun6_packets_sent,utun6_packets_recv,
1648115923.315198,61.5,61.5,55.6,52.0,40.7,12.0,7.7,7.7,17179869184,3543220224,79.4,6791823360,79511552,3510173696,3301720064,46581962,24856541,760246185984,457152004096,13291740,1074236,133849088,133849088,705570,705570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371274752,731981824,46336700,68586308,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115923.5695071,28.0,28.0,24.0,19.2,25.0,4.0,0.0,7.4,17179869184,3521675264,79.5,6796738560,58933248,3476307968,3268919296,46583876,24856677,760285908992,457152798720,13293680,1074240,133849088,133849088,705570,705570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371275776,731984896,46336711,68586323,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115923.8434272,42.9,46.4,42.9,35.7,14.3,53.6,3.6,0.0,17179869184,3509813248,79.6,6776324096,78151680,3433136128,3215097856,46585334,24856690,760313901056,457161211904,13294600,1074251,133849088,133849088,705570,705570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371275776,731984896,46336711,68586323,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115924.0988312,24.0,24.0,12.0,16.0,0.0,0.0,0.0,0.0,17179869184,3542679552,79.4,6745751552,59457536,3480616960,3239411712,46587005,24856691,760341438464,457161216000,13295054,1074251,133849088,133849088,705570,705570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371275776,731984896,46336711,68586323,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115924.3553832,19.2,22.2,23.1,14.8,0.0,0.0,0.0,0.0,17179869184,3547611136,79.4,6737231872,67387392,3973693440,3234578432,46587138,24856691,760343515136,457161216000,13295070,1074251,133849088,133849088,705570,705570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371275776,731984896,46336712,68586324,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115924.6117141,19.2,8.3,11.5,4.2,7.7,0.0,0.0,0.0,17179869184,3573760000,79.2,6711853056,67977216,3945267200,3260137472,46587138,24856691,760343515136,457161216000,13295070,1074251,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371275776,731984896,46336712,68586324,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115924.869602,26.9,26.9,16.0,19.2,8.0,0.0,0.0,0.0,17179869184,3786063872,78.0,6493208576,68288512,3826401280,3472130048,46587138,24856691,760343515136,457161216000,13295070,1074251,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371276800,731994112,46336716,68586331,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115925.126685,20.8,23.1,23.1,18.5,14.8,4.0,7.7,3.8,17179869184,3757817856,78.1,6522552320,62111744,3696328704,3450060800,46587138,24856691,760343515136,457161216000,13295070,1074251,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371276800,731994112,46336718,68586333,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115925.385859,25.9,26.9,30.8,20.0,4.0,3.8,4.0,0.0,17179869184,3758866432,78.1,6517047296,74645504,3687268352,3438542848,46587140,24856691,760343523328,457161216000,13295071,1074251,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371276800,731995136,46336720,68586336,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115925.641516,30.8,26.9,20.0,19.2,8.0,11.5,7.7,0.0,17179869184,3733422080,78.3,6541590528,69599232,3667886080,3418144768,46587141,24856748,760343539712,457161498624,13295071,1074253,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371277824,731995136,46336726,68586342,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
