Drone,TS1,TS6,lat5
urn:ngsi-ld:Drone:2,1648115475,274.66368675231934,1
urn:ngsi-ld:Drone:2,1648115476,274.0664482116699,2
urn:ngsi-ld:Drone:2,1648115477,269.84381675720215,1
urn:ngsi-ld:Drone:2,1648115478,271.56639099121094,1
urn:ngsi-ld:Drone:2,1648115479,268.48435401916504,2
urn:ngsi-ld:Drone:2,1648115480,272.0646858215332,1
urn:ngsi-ld:Drone:2,1648115481,268.2657241821289,1
urn:ngsi-ld:Drone:2,1648115482,271.06261253356934,1
urn:ngsi-ld:Drone:2,1648115483,282.41753578186035,1
urn:ngsi-ld:Drone:2,1648115484,263.40603828430176,2
urn:ngsi-ld:Drone:2,1648115485,265.78688621520996,1
urn:ngsi-ld:Drone:2,1648115486,264.59646224975586,2
urn:ngsi-ld:Drone:2,1648115487,271.9724178314209,1
urn:ngsi-ld:Drone:2,1648115488,270.35975456237793,1
urn:ngsi-ld:Drone:2,1648115489,318.37666034698486,2
urn:ngsi-ld:Drone:2,1648115490,325.7169723510742,1
urn:ngsi-ld:Drone:2,1648115492,272.5715637207031,3
urn:ngsi-ld:Drone:2,1648115493,274.7197151184082,1
urn:ngsi-ld:Drone:2,1648115494,272.48072624206543,1
urn:ngsi-ld:Drone:2,1648115495,272.53007888793945,1
urn:ngsi-ld:Drone:2,1648115496,274.40154552459717,2
urn:ngsi-ld:Drone:2,1648115497,266.8468952178955,1
urn:ngsi-ld:Drone:2,1648115498,269.3178653717041,1
urn:ngsi-ld:Drone:2,1648115499,271.8393802642822,1
urn:ngsi-ld:Drone:2,1648115500,275.8539915084839,2
urn:ngsi-ld:Drone:2,1648115501,274.63507652282715,1
urn:ngsi-ld:Drone:2,1648115502,294.11792755126953,1
urn:ngsi-ld:Drone:2,1648115503,274.8662233352661,2
urn:ngsi-ld:Drone:2,1648115504,276.0798931121826,1
urn:ngsi-ld:Drone:2,1648115505,275.0396728515625,1
urn:ngsi-ld:Drone:2,1648115506,292.43338108062744,2
urn:ngsi-ld:Drone:2,1648115507,278.8102626800537,1
urn:ngsi-ld:Drone:2,1648115508,273.26297760009766,1
urn:ngsi-ld:Drone:2,1648115509,284.1024398803711,1
urn:ngsi-ld:Drone:2,1648115510,275.78556537628174,2
urn:ngsi-ld:Drone:2,1648115511,275.3634452819824,1
urn:ngsi-ld:Drone:2,1648115512,276.975154876709,1
urn:ngsi-ld:Drone:2,1648115513,280.2088260650635,1
urn:ngsi-ld:Drone:2,1648115514,277.68051624298096,2
urn:ngsi-ld:Drone:2,1648115515,280.3943157196045,1
urn:ngsi-ld:Drone:2,1648115516,284.1470241546631,1
urn:ngsi-ld:Drone:2,1648115517,293.8215732574463,1
urn:ngsi-ld:Drone:2,1648115518,281.27431869506836,1
urn:ngsi-ld:Drone:2,1648115519,278.14626693725586,1
urn:ngsi-ld:Drone:2,1648115520,274.5976448059082,2
urn:ngsi-ld:Drone:2,1648115521,277.3914337158203,1
urn:ngsi-ld:Drone:2,1648115522,283.51664543151855,1
urn:ngsi-ld:Drone:2,1648115523,283.4286689758301,2
urn:ngsi-ld:Drone:2,1648115524,275.0682830810547,1
urn:ngsi-ld:Drone:2,1648115525,277.9250144958496,1
urn:ngsi-ld:Drone:2,1648115526,271.61169052124023,2
urn:ngsi-ld:Drone:2,1648115527,272.5255489349365,1
urn:ngsi-ld:Drone:2,1648115528,271.669864654541,1
urn:ngsi-ld:Drone:2,1648115529,278.7407636642456,2
urn:ngsi-ld:Drone:2,1648115530,271.8076705932617,1
urn:ngsi-ld:Drone:2,1648115531,276.7617702484131,2
urn:ngsi-ld:Drone:2,1648115532,271.6250419616699,1
urn:ngsi-ld:Drone:2,1648115533,272.1898555755615,1
urn:ngsi-ld:Drone:2,1648115534,273.10025691986084,2
urn:ngsi-ld:Drone:2,1648115535,270.7676887512207,1
urn:ngsi-ld:Drone:2,1648115536,275.51841735839844,1
urn:ngsi-ld:Drone:2,1648115537,270.78139781951904,2
urn:ngsi-ld:Drone:2,1648115538,277.41527557373047,1
urn:ngsi-ld:Drone:2,1648115539,271.248459815979,2
urn:ngsi-ld:Drone:2,1648115540,269.6113586425781,1
urn:ngsi-ld:Drone:2,1648115541,271.67439460754395,2
