1647877224.252631
1647877224.252664
1647877224.2526667
TS1:1647877239.4872017,TS6:1647877239.8576021,lat5:370.40042877197266
TS1:1647877239.5091796,TS6:1647877239.9399438,lat5:430.76419830322266
TS1:1647877239.5393586,TS6:1647877239.9434843,lat5:404.1256904602051
TS1:1647877239.501764,TS6:1647877239.9485402,lat5:446.7761516571045
TS1:1647877239.5242546,TS6:1647877239.9521675,lat5:427.91295051574707
TS1:1647877239.4944491,TS6:1647877239.9566805,lat5:462.2313976287842
TS1:1647877239.531833,TS6:1647877239.9605246,lat5:428.6916255950928
TS1:1647877239.5469286,TS6:1647877239.9694095,lat5:422.48082160949707
TS1:1647877239.516735,TS6:1647877239.9779367,lat5:461.20166778564453
TS1:1647877239.554513,TS6:1647877240.0063722,lat5:451.8592357635498
TS1:1647877239.569627,TS6:1647877240.007923,lat5:438.295841217041
TS1:1647877239.599825,TS6:1647877240.0125754,lat5:412.7504825592041
TS1:1647877239.5620732,TS6:1647877240.0209568,lat5:458.88352394104004
TS1:1647877239.6637225,TS6:1647877240.0266342,lat5:362.9117012023926
TS1:1647877239.607358,TS6:1647877240.0328927,lat5:425.534725189209
TS1:1647877239.6524448,TS6:1647877240.0395606,lat5:387.1157169342041
TS1:1647877239.6225097,TS6:1647877240.0443058,lat5:421.7960834503174
TS1:1647877239.584674,TS6:1647877240.0496404,lat5:464.9665355682373
TS1:1647877239.614962,TS6:1647877240.053644,lat5:438.68184089660645
TS1:1647877239.6300716,TS6:1647877240.0580227,lat5:427.9510974884033
TS1:1647877239.577185,TS6:1647877240.061765,lat5:484.58003997802734
TS1:1647877239.6375582,TS6:1647877240.0651782,lat5:427.61993408203125
TS1:1647877239.5922563,TS6:1647877240.068961,lat5:476.70459747314453
TS1:1647877239.6713767,TS6:1647877240.0764225,lat5:405.045747756958
TS1:1647877239.6450229,TS6:1647877240.077161,lat5:432.13820457458496
TS1:1647877239.7469358,TS6:1647877240.1478305,lat5:400.8946418762207
TS1:1647877239.7393513,TS6:1647877240.1546607,lat5:415.3094291687012
TS1:1647877239.7620544,TS6:1647877240.1608138,lat5:398.7593650817871
TS1:1647877239.686442,TS6:1647877240.1624289,lat5:475.9869575500488
TS1:1647877239.678929,TS6:1647877240.1677194,lat5:488.79027366638184
TS1:1647877239.724243,TS6:1647877240.1718087,lat5:447.56579399108887
TS1:1647877239.6940298,TS6:1647877240.1763246,lat5:482.29479789733887
TS1:1647877239.7015822,TS6:1647877240.1808677,lat5:479.28547859191895
TS1:1647877239.716709,TS6:1647877240.1868339,lat5:470.1249599456787
TS1:1647877239.7091386,TS6:1647877240.192994,lat5:483.8554859161377
TS1:1647877239.7317877,TS6:1647877240.1957378,lat5:463.95015716552734
TS1:1647877239.754531,TS6:1647877240.2025485,lat5:448.0175971984863
TS1:1647877239.7847304,TS6:1647877240.231036,lat5:446.305513381958
TS1:1647877239.769617,TS6:1647877240.2380526,lat5:468.43552589416504
TS1:1647877239.7922864,TS6:1647877240.2432022,lat5:450.9158134460449
TS1:1647877239.7998862,TS6:1647877240.2467864,lat5:446.9001293182373
TS1:1647877239.7771552,TS6:1647877240.25224,lat5:475.0847816467285
TS1:1647877239.8074358,TS6:1647877240.2538838,lat5:446.44808769226074
TS1:1647877239.8676186,TS6:1647877240.3003974,lat5:432.77883529663086
TS1:1647877239.8225462,TS6:1647877240.3055472,lat5:483.0009937286377
TS1:1647877239.830053,TS6:1647877240.307437,lat5:477.3838520050049
TS1:1647877239.8601258,TS6:1647877240.3105438,lat5:450.41799545288086
TS1:1647877239.8526309,TS6:1647877240.3129907,lat5:460.3598117828369
TS1:1647877239.8150065,TS6:1647877240.3157265,lat5:500.7200241088867
TS1:1647877239.845119,TS6:1647877240.3186722,lat5:473.5531806945801
TS1:1647877239.875138,TS6:1647877240.3234906,lat5:448.352575302124
TS1:1647877239.8375742,TS6:1647877240.327901,lat5:490.3266429901123
TS1:1647877239.9578843,TS6:1647877240.3652816,lat5:407.3972702026367
TS1:1647877239.890275,TS6:1647877240.3686347,lat5:478.3596992492676
TS1:1647877239.905394,TS6:1647877240.3711815,lat5:465.787410736084
TS1:1647877239.9353764,TS6:1647877240.3745337,lat5:439.15724754333496
TS1:1647877239.950435,TS6:1647877240.378015,lat5:427.5801181793213
TS1:1647877239.9279318,TS6:1647877240.3801293,lat5:452.1975517272949
TS1:1647877239.8978631,TS6:1647877240.3823006,lat5:484.4374656677246
TS1:1647877239.8827252,TS6:1647877240.3847277,lat5:502.002477645874
TS1:1647877239.912897,TS6:1647877240.3883784,lat5:475.4812717437744
TS1:1647877239.942836,TS6:1647877240.391217,lat5:448.3809471130371
TS1:1647877239.9204886,TS6:1647877240.4022396,lat5:481.7509651184082
TS1:1647877239.9877248,TS6:1647877240.4610248,lat5:473.2999801635742
TS1:1647877239.96533,TS6:1647877240.4637074,lat5:498.37756156921387
TS1:1647877239.9728107,TS6:1647877240.4667919,lat5:493.98112297058105
TS1:1647877240.002817,TS6:1647877240.4726312,lat5:469.8143005371094
TS1:1647877239.98025,TS6:1647877240.4756281,lat5:495.3782558441162
TS1:1647877240.0103595,TS6:1647877240.4850454,lat5:474.6859073638916
TS1:1647877239.9952712,TS6:1647877240.4864526,lat5:491.1813735961914
TS1:1647877240.0405908,TS6:1647877240.5665543,lat5:525.963544845581
TS1:1647877240.0935757,TS6:1647877240.5700235,lat5:476.44782066345215
TS1:1647877240.025442,TS6:1647877240.5730653,lat5:547.6233959197998
TS1:1647877240.0329893,TS6:1647877240.5753667,lat5:542.3774719238281
TS1:1647877240.0481665,TS6:1647877240.577973,lat5:529.80637550354
TS1:1647877240.017925,TS6:1647877240.580756,lat5:562.830924987793
TS1:1647877240.0557652,TS6:1647877240.5830667,lat5:527.301549911499
TS1:1647877240.07849,TS6:1647877240.5881262,lat5:509.63616371154785
TS1:1647877240.0860248,TS6:1647877240.5906193,lat5:504.5945644378662
TS1:1647877240.0633326,TS6:1647877240.5910382,lat5:527.7056694030762
TS1:1647877240.0709088,TS6:1647877240.5935917,lat5:522.6829051971436
