1647877515.055174
1647877515.055209
1647877515.0552113
TS1:1647877559.9371529,TS6:1647877560.1351829,lat5:198.0299949645996
TS1:1647877559.9453304,TS6:1647877560.1365552,lat5:191.2248134613037
TS1:1647877559.9876678,TS6:1647877560.190603,lat5:202.93521881103516
TS1:1647877559.9791143,TS6:1647877560.192975,lat5:213.86075019836426
TS1:1647877559.953619,TS6:1647877560.1954534,lat5:241.8344020843506
TS1:1647877559.9705565,TS6:1647877560.1974885,lat5:226.93204879760742
TS1:1647877559.996223,TS6:1647877560.2175684,lat5:221.3454246520996
TS1:1647877560.013368,TS6:1647877560.219729,lat5:206.3610553741455
TS1:1647877559.9621558,TS6:1647877560.2212105,lat5:259.05466079711914
TS1:1647877560.0048046,TS6:1647877560.2252593,lat5:220.45469284057617
TS1:1647877560.0219133,TS6:1647877560.2299032,lat5:207.98993110656738
TS1:1647877560.0303695,TS6:1647877560.2337904,lat5:203.42087745666504
TS1:1647877560.0389044,TS6:1647877560.235982,lat5:197.07751274108887
TS1:1647877560.0474925,TS6:1647877560.3011088,lat5:253.6163330078125
TS1:1647877560.0646272,TS6:1647877560.30539,lat5:240.76271057128906
TS1:1647877560.0560677,TS6:1647877560.3078237,lat5:251.755952835083
TS1:1647877560.0731895,TS6:1647877560.3131073,lat5:239.91775512695312
TS1:1647877560.090279,TS6:1647877560.3622527,lat5:271.9736099243164
TS1:1647877560.081745,TS6:1647877560.3673596,lat5:285.6147289276123
TS1:1647877560.1330538,TS6:1647877560.3864162,lat5:253.36241722106934
TS1:1647877560.1501162,TS6:1647877560.3890862,lat5:238.9700412750244
TS1:1647877560.1586294,TS6:1647877560.3953712,lat5:236.7417812347412
TS1:1647877560.1245117,TS6:1647877560.422889,lat5:298.37727546691895
TS1:1647877560.1159377,TS6:1647877560.4272473,lat5:311.3095760345459
TS1:1647877560.141642,TS6:1647877560.43109,lat5:289.4480228424072
TS1:1647877560.09879,TS6:1647877560.4363835,lat5:337.59355545043945
TS1:1647877560.1073508,TS6:1647877560.4402044,lat5:332.8535556793213
TS1:1647877560.1671505,TS6:1647877560.5072787,lat5:340.12818336486816
TS1:1647877560.1928732,TS6:1647877560.5100062,lat5:317.13294982910156
TS1:1647877560.18429,TS6:1647877560.5133018,lat5:329.0119171142578
TS1:1647877560.2015028,TS6:1647877560.5145042,lat5:313.0013942718506
TS1:1647877560.1757352,TS6:1647877560.5178056,lat5:342.0703411102295
TS1:1647877560.210034,TS6:1647877560.6098914,lat5:399.8575210571289
TS1:1647877560.2185907,TS6:1647877560.6111405,lat5:392.5497531890869
TS1:1647877560.227149,TS6:1647877560.6139953,lat5:386.84630393981934
TS1:1647877560.244294,TS6:1647877560.6198034,lat5:375.50950050354004
TS1:1647877560.2357266,TS6:1647877560.620904,lat5:385.1773738861084
