1647878718.601862
1647878718.601897
1647878718.6018991
TS1:1647878736.8276565,TS6:1647878736.962815,lat5:135.15853881835938
TS1:1647878736.8479872,TS6:1647878736.995701,lat5:147.71389961242676
TS1:1647878736.8685398,TS6:1647878737.0674076,lat5:198.8677978515625
TS1:1647878736.930306,TS6:1647878737.0721798,lat5:141.87383651733398
TS1:1647878736.9097507,TS6:1647878737.0768056,lat5:167.0548915863037
TS1:1647878736.8891325,TS6:1647878737.081952,lat5:192.81959533691406
TS1:1647878736.9714935,TS6:1647878737.086643,lat5:115.14949798583984
TS1:1647878736.9509268,TS6:1647878737.093197,lat5:142.27032661437988
TS1:1647878736.9920774,TS6:1647878737.0951822,lat5:103.10482978820801
TS1:1647878737.012665,TS6:1647878737.0990517,lat5:86.38668060302734
TS1:1647878737.033253,TS6:1647878737.1023076,lat5:69.05460357666016
TS1:1647878737.0538657,TS6:1647878737.1149788,lat5:61.11311912536621
TS1:1647878737.074362,TS6:1647878737.1208024,lat5:46.44036293029785
TS1:1647878737.094968,TS6:1647878737.1270695,lat5:32.10139274597168
TS1:1647878737.1155725,TS6:1647878737.1342802,lat5:18.707752227783203
TS1:1647878737.1361618,TS6:1647878737.1500454,lat5:13.883590698242188
TS1:1647878737.1567783,TS6:1647878737.1716113,lat5:14.83297348022461
TS1:1647878737.177404,TS6:1647878737.1915574,lat5:14.153480529785156
TS1:1647878737.1980178,TS6:1647878737.2146828,lat5:16.664981842041016
TS1:1647878737.2186036,TS6:1647878737.233506,lat5:14.902353286743164
TS1:1647878737.23915,TS6:1647878737.255111,lat5:15.960931777954102
TS1:1647878737.259773,TS6:1647878737.2742803,lat5:14.507293701171875
TS1:1647878737.2803671,TS6:1647878737.2939093,lat5:13.54217529296875
TS1:1647878737.3009408,TS6:1647878737.3143854,lat5:13.444662094116211
TS1:1647878737.3215604,TS6:1647878737.3356564,lat5:14.09602165222168
TS1:1647878737.342148,TS6:1647878737.3631997,lat5:21.051645278930664
TS1:1647878737.3626535,TS6:1647878737.3762188,lat5:13.565301895141602
TS1:1647878737.3832414,TS6:1647878737.3989863,lat5:15.744924545288086
TS1:1647878737.403854,TS6:1647878737.418309,lat5:14.455080032348633
TS1:1647878737.4244258,TS6:1647878737.448035,lat5:23.609161376953125
TS1:1647878737.4450378,TS6:1647878737.4681149,lat5:23.077011108398438
TS1:1647878737.4656618,TS6:1647878737.4849412,lat5:19.27947998046875
TS1:1647878737.4862137,TS6:1647878737.504359,lat5:18.145322799682617
TS1:1647878737.506818,TS6:1647878737.5221999,lat5:15.381813049316406
TS1:1647878737.5273998,TS6:1647878737.5444882,lat5:17.08841323852539
TS1:1647878737.548009,TS6:1647878737.5636618,lat5:15.652894973754883
TS1:1647878737.5685985,TS6:1647878737.5833597,lat5:14.761209487915039
TS1:1647878737.589157,TS6:1647878737.6051574,lat5:16.00027084350586
TS1:1647878737.6097846,TS6:1647878737.624264,lat5:14.479398727416992
TS1:1647878737.6303413,TS6:1647878737.6448767,lat5:14.53542709350586
TS1:1647878737.650965,TS6:1647878737.6667337,lat5:15.768766403198242
TS1:1647878737.6715546,TS6:1647878737.6867104,lat5:15.155792236328125
TS1:1647878737.6921432,TS6:1647878737.710214,lat5:18.070697784423828
TS1:1647878737.7127671,TS6:1647878737.7306035,lat5:17.836332321166992
TS1:1647878737.7333193,TS6:1647878737.7499657,lat5:16.646385192871094
TS1:1647878737.753922,TS6:1647878737.7686832,lat5:14.761209487915039
TS1:1647878737.7745392,TS6:1647878737.7902405,lat5:15.7012939453125
TS1:1647878737.795095,TS6:1647878737.8109653,lat5:15.870332717895508
TS1:1647878737.8156953,TS6:1647878737.832391,lat5:16.695737838745117
TS1:1647878737.83625,TS6:1647878737.8532119,lat5:16.96181297302246
TS1:1647878737.8568656,TS6:1647878737.871096,lat5:14.23025131225586
TS1:1647878737.8775184,TS6:1647878737.8933005,lat5:15.78211784362793
TS1:1647878737.89804,TS6:1647878737.9242458,lat5:26.205778121948242
TS1:1647878737.9185605,TS6:1647878737.9361577,lat5:17.597198486328125
TS1:1647878737.9390783,TS6:1647878737.9516158,lat5:12.537479400634766
TS1:1647878737.9596713,TS6:1647878737.9733388,lat5:13.667583465576172
TS1:1647878737.9802597,TS6:1647878737.994375,lat5:14.115333557128906
TS1:1647878738.0008483,TS6:1647878738.0161839,lat5:15.335559844970703
TS1:1647878738.0214288,TS6:1647878738.0358682,lat5:14.43934440612793
TS1:1647878738.0420582,TS6:1647878738.0577452,lat5:15.686988830566406
TS1:1647878738.0626466,TS6:1647878738.0768304,lat5:14.183759689331055
TS1:1647878738.0832436,TS6:1647878738.0975378,lat5:14.294147491455078
TS1:1647878738.103763,TS6:1647878738.1175303,lat5:13.767242431640625
TS1:1647878738.124315,TS6:1647878738.1416447,lat5:17.329692840576172
TS1:1647878738.1449163,TS6:1647878738.1613076,lat5:16.391277313232422
TS1:1647878738.1655636,TS6:1647878738.179376,lat5:13.81230354309082
TS1:1647878738.1861866,TS6:1647878738.2028234,lat5:16.63684844970703
TS1:1647878738.206776,TS6:1647878738.2213287,lat5:14.552831649780273
TS1:1647878738.2273614,TS6:1647878738.249114,lat5:21.752595901489258
TS1:1647878738.2479734,TS6:1647878738.2640479,lat5:16.074419021606445
TS1:1647878738.2685697,TS6:1647878738.292365,lat5:23.795366287231445
TS1:1647878738.28915,TS6:1647878738.3140533,lat5:24.903297424316406
TS1:1647878738.309759,TS6:1647878738.3300056,lat5:20.24674415588379
TS1:1647878738.3302548,TS6:1647878738.347589,lat5:17.3342227935791
TS1:1647878738.350869,TS6:1647878738.3660297,lat5:15.160799026489258
TS1:1647878738.3714535,TS6:1647878738.3857145,lat5:14.261007308959961
TS1:1647878738.3920736,TS6:1647878738.4081907,lat5:16.117095947265625
TS1:1647878738.4126403,TS6:1647878738.428856,lat5:16.21556282043457
TS1:1647878738.4332275,TS6:1647878738.4490407,lat5:15.813112258911133
TS1:1647878738.4538467,TS6:1647878738.471387,lat5:17.54021644592285
TS1:1647878738.474434,TS6:1647878738.4888055,lat5:14.371633529663086
TS1:1647878738.495053,TS6:1647878738.5098026,lat5:14.749526977539062
TS1:1647878738.5156207,TS6:1647878738.5299418,lat5:14.321088790893555
TS1:1647878738.53621,TS6:1647878738.5538197,lat5:17.609596252441406
TS1:1647878738.556836,TS6:1647878738.5715935,lat5:14.757633209228516
TS1:1647878738.5774355,TS6:1647878738.5975125,lat5:20.076990127563477
TS1:1647878738.598016,TS6:1647878738.6162212,lat5:18.20516586303711
TS1:1647878738.6185896,TS6:1647878738.631892,lat5:13.302326202392578
TS1:1647878738.639129,TS6:1647878738.6574197,lat5:18.29075813293457
TS1:1647878738.6596808,TS6:1647878738.677862,lat5:18.18108558654785
TS1:1647878738.680205,TS6:1647878738.6962197,lat5:16.014575958251953
TS1:1647878738.7008193,TS6:1647878738.720616,lat5:19.79684829711914
TS1:1647878738.7214422,TS6:1647878738.7444935,lat5:23.05126190185547
TS1:1647878738.7420592,TS6:1647878738.7571647,lat5:15.105485916137695
TS1:1647878738.7626407,TS6:1647878738.7783144,lat5:15.673637390136719
TS1:1647878738.7832203,TS6:1647878738.7992656,lat5:16.045331954956055
TS1:1647878738.8037975,TS6:1647878738.8195379,lat5:15.740394592285156
TS1:1647878738.8243597,TS6:1647878738.8387706,lat5:14.410972595214844
TS1:1647878738.844946,TS6:1647878738.862061,lat5:17.115116119384766
TS1:1647878738.8655684,TS6:1647878738.8958445,lat5:30.276060104370117
TS1:1647878738.8861587,TS6:1647878738.9093342,lat5:23.175477981567383
TS1:1647878738.9067612,TS6:1647878738.9332693,lat5:26.508092880249023
TS1:1647878738.9273386,TS6:1647878738.9473906,lat5:20.051956176757812
TS1:1647878738.947952,TS6:1647878738.9631655,lat5:15.213489532470703
TS1:1647878738.9685674,TS6:1647878738.9868987,lat5:18.331289291381836
TS1:1647878738.9891574,TS6:1647878739.0039492,lat5:14.791727066040039
TS1:1647878739.0097733,TS6:1647878739.026129,lat5:16.35575294494629
TS1:1647878739.0303383,TS6:1647878739.0451868,lat5:14.848470687866211
TS1:1647878739.050959,TS6:1647878739.0704422,lat5:19.483089447021484
TS1:1647878739.071557,TS6:1647878739.0836558,lat5:12.09878921508789
TS1:1647878739.0921433,TS6:1647878739.1047678,lat5:12.624502182006836
TS1:1647878739.112742,TS6:1647878739.1264918,lat5:13.749837875366211
TS1:1647878739.13333,TS6:1647878739.14675,lat5:13.419866561889648
TS1:1647878739.1539474,TS6:1647878739.168081,lat5:14.133691787719727
TS1:1647878739.1745217,TS6:1647878739.1884377,lat5:13.916015625
TS1:1647878739.1951048,TS6:1647878739.2087133,lat5:13.608455657958984
TS1:1647878739.2156906,TS6:1647878739.2298808,lat5:14.190196990966797
TS1:1647878739.236268,TS6:1647878739.252764,lat5:16.495943069458008
TS1:1647878739.256881,TS6:1647878739.2714036,lat5:14.522552490234375
TS1:1647878739.2775342,TS6:1647878739.291167,lat5:13.632774353027344
TS1:1647878739.2981155,TS6:1647878739.3137267,lat5:15.61117172241211
TS1:1647878739.3188615,TS6:1647878739.3355324,lat5:16.670942306518555
TS1:1647878739.33945,TS6:1647878739.3526952,lat5:13.245344161987305
TS1:1647878739.3600533,TS6:1647878739.372487,lat5:12.433767318725586
TS1:1647878739.3806438,TS6:1647878739.4020386,lat5:21.394729614257812
TS1:1647878739.4011934,TS6:1647878739.4158254,lat5:14.631986618041992
TS1:1647878739.4216883,TS6:1647878739.4413333,lat5:19.644975662231445
TS1:1647878739.442245,TS6:1647878739.4585378,lat5:16.292810440063477
TS1:1647878739.4627929,TS6:1647878739.4770224,lat5:14.229536056518555
TS1:1647878739.4838238,TS6:1647878739.5106773,lat5:26.853561401367188
TS1:1647878739.504408,TS6:1647878739.5213957,lat5:16.98780059814453
TS1:1647878739.5249317,TS6:1647878739.5381916,lat5:13.2598876953125
TS1:1647878739.545504,TS6:1647878739.603957,lat5:58.45284461975098
TS1:1647878739.5660613,TS6:1647878739.615582,lat5:49.52073097229004
TS1:1647878739.5866065,TS6:1647878739.6224525,lat5:35.84599494934082
TS1:1647878739.6071591,TS6:1647878739.6297789,lat5:22.61972427368164
TS1:1647878739.6277375,TS6:1647878739.6425004,lat5:14.76287841796875
TS1:1647878739.6483266,TS6:1647878739.6615798,lat5:13.253211975097656
TS1:1647878739.6689415,TS6:1647878739.6798382,lat5:10.896682739257812
TS1:1647878739.6895802,TS6:1647878739.705286,lat5:15.70582389831543
TS1:1647878739.7101643,TS6:1647878739.7235026,lat5:13.338327407836914
TS1:1647878739.7307453,TS6:1647878739.7435222,lat5:12.776851654052734
TS1:1647878739.75133,TS6:1647878739.7646663,lat5:13.336420059204102
TS1:1647878739.7719443,TS6:1647878739.788739,lat5:16.794681549072266
TS1:1647878739.7925472,TS6:1647878739.8104448,lat5:17.897605895996094
TS1:1647878739.8131282,TS6:1647878739.8303828,lat5:17.25459098815918
TS1:1647878739.8337097,TS6:1647878739.8491666,lat5:15.456914901733398
TS1:1647878739.8542566,TS6:1647878739.8687878,lat5:14.531135559082031
TS1:1647878739.874843,TS6:1647878739.8887582,lat5:13.915300369262695
TS1:1647878739.8954403,TS6:1647878739.9095433,lat5:14.102935791015625
TS1:1647878739.9160614,TS6:1647878739.9368775,lat5:20.81608772277832
TS1:1647878739.9366546,TS6:1647878739.9518971,lat5:15.242576599121094
TS1:1647878739.9572074,TS6:1647878739.9748216,lat5:17.614126205444336
TS1:1647878739.9777312,TS6:1647878739.99689,lat5:19.15884017944336
TS1:1647878739.9983037,TS6:1647878740.0194457,lat5:21.142005920410156
TS1:1647878740.0188234,TS6:1647878740.03844,lat5:19.61660385131836
TS1:1647878740.0393708,TS6:1647878740.0543637,lat5:14.992952346801758
TS1:1647878740.0599527,TS6:1647878740.0758605,lat5:15.907764434814453
TS1:1647878740.0804925,TS6:1647878740.0955467,lat5:15.05422592163086
TS1:1647878740.1011117,TS6:1647878740.11585,lat5:14.738321304321289
TS1:1647878740.1217062,TS6:1647878740.1360478,lat5:14.341592788696289
TS1:1647878740.1422436,TS6:1647878740.1561544,lat5:13.910770416259766
TS1:1647878740.162836,TS6:1647878740.1766338,lat5:13.797760009765625
TS1:1647878740.1833851,TS6:1647878740.1983728,lat5:14.987707138061523
TS1:1647878740.203998,TS6:1647878740.2188272,lat5:14.829158782958984
TS1:1647878740.2245886,TS6:1647878740.2396023,lat5:15.013694763183594
TS1:1647878740.245139,TS6:1647878740.2590194,lat5:13.880491256713867
TS1:1647878740.2658014,TS6:1647878740.2807417,lat5:14.940261840820312
TS1:1647878740.2863598,TS6:1647878740.3015337,lat5:15.173912048339844
TS1:1647878740.3069994,TS6:1647878740.3260891,lat5:19.089698791503906
TS1:1647878740.327579,TS6:1647878740.3407385,lat5:13.159513473510742
TS1:1647878740.3481312,TS6:1647878740.36604,lat5:17.908811569213867
TS1:1647878740.3687513,TS6:1647878740.3846328,lat5:15.881538391113281
TS1:1647878740.3893943,TS6:1647878740.40462,lat5:15.225648880004883
TS1:1647878740.4099722,TS6:1647878740.4231534,lat5:13.181209564208984
TS1:1647878740.430566,TS6:1647878740.4453654,lat5:14.799356460571289
TS1:1647878740.4511316,TS6:1647878740.4651527,lat5:14.021158218383789
TS1:1647878740.471749,TS6:1647878740.489572,lat5:17.822980880737305
TS1:1647878740.4923306,TS6:1647878740.5068243,lat5:14.493703842163086
TS1:1647878740.512944,TS6:1647878740.5271497,lat5:14.205694198608398
TS1:1647878740.533566,TS6:1647878740.5474412,lat5:13.875246047973633
TS1:1647878740.5541425,TS6:1647878740.5680563,lat5:13.913869857788086
TS1:1647878740.574763,TS6:1647878740.5879362,lat5:13.173103332519531
TS1:1647878740.5953426,TS6:1647878740.608011,lat5:12.668371200561523
TS1:1647878740.6159751,TS6:1647878740.6290557,lat5:13.080596923828125
TS1:1647878740.636562,TS6:1647878740.6518772,lat5:15.315055847167969
TS1:1647878740.6571226,TS6:1647878740.6700594,lat5:12.936830520629883
TS1:1647878740.6777208,TS6:1647878740.692791,lat5:15.070199966430664
TS1:1647878740.6982892,TS6:1647878740.7137668,lat5:15.477657318115234
TS1:1647878740.718906,TS6:1647878740.7327218,lat5:13.815879821777344
TS1:1647878740.739506,TS6:1647878740.7562535,lat5:16.747474670410156
TS1:1647878740.7600644,TS6:1647878740.7747395,lat5:14.675140380859375
TS1:1647878740.780611,TS6:1647878740.7947845,lat5:14.173507690429688
TS1:1647878740.8011808,TS6:1647878740.8154707,lat5:14.28985595703125
TS1:1647878740.821769,TS6:1647878740.8365643,lat5:14.795303344726562
TS1:1647878740.842342,TS6:1647878740.855187,lat5:12.845039367675781
TS1:1647878740.8629391,TS6:1647878740.8767462,lat5:13.807058334350586
TS1:1647878740.8835216,TS6:1647878740.8963156,lat5:12.794017791748047
TS1:1647878740.9041083,TS6:1647878740.921294,lat5:17.185688018798828
TS1:1647878740.9246967,TS6:1647878740.9389286,lat5:14.23192024230957
TS1:1647878740.9452858,TS6:1647878740.960808,lat5:15.522241592407227
TS1:1647878740.965902,TS6:1647878740.9796596,lat5:13.757467269897461
TS1:1647878740.986489,TS6:1647878741.0001225,lat5:13.633489608764648
TS1:1647878741.007063,TS6:1647878741.0224261,lat5:15.363216400146484
TS1:1647878741.027593,TS6:1647878741.0409224,lat5:13.329505920410156
TS1:1647878741.0481818,TS6:1647878741.0615883,lat5:13.406515121459961
TS1:1647878741.0687823,TS6:1647878741.08476,lat5:15.977621078491211
TS1:1647878741.0893884,TS6:1647878741.104448,lat5:15.059709548950195
TS1:1647878741.1100042,TS6:1647878741.1246467,lat5:14.642477035522461
TS1:1647878741.130492,TS6:1647878741.1433587,lat5:12.866735458374023
TS1:1647878741.1510782,TS6:1647878741.1633523,lat5:12.274026870727539
TS1:1647878741.1716368,TS6:1647878741.188055,lat5:16.4182186126709
TS1:1647878741.1921628,TS6:1647878741.2073426,lat5:15.179872512817383
TS1:1647878741.2127647,TS6:1647878741.2387497,lat5:25.985002517700195
TS1:1647878741.2333164,TS6:1647878741.252729,lat5:19.412517547607422
TS1:1647878741.2538788,TS6:1647878741.2680967,lat5:14.217853546142578
TS1:1647878741.2744474,TS6:1647878741.288308,lat5:13.860464096069336
TS1:1647878741.295057,TS6:1647878741.3088198,lat5:13.762712478637695
TS1:1647878741.315657,TS6:1647878741.330091,lat5:14.434099197387695
TS1:1647878741.3361442,TS6:1647878741.3519473,lat5:15.803098678588867
TS1:1647878741.356706,TS6:1647878741.3715584,lat5:14.852523803710938
TS1:1647878741.3771951,TS6:1647878741.39831,lat5:21.114826202392578
TS1:1647878741.3977208,TS6:1647878741.4099529,lat5:12.232065200805664
TS1:1647878741.4183056,TS6:1647878741.4291492,lat5:10.843515396118164
TS1:1647878741.4388957,TS6:1647878741.4504404,lat5:11.54470443725586
TS1:1647878741.4594889,TS6:1647878741.4718199,lat5:12.331008911132812
TS1:1647878741.4800725,TS6:1647878741.4947777,lat5:14.705181121826172
TS1:1647878741.50067,TS6:1647878741.5136755,lat5:13.005495071411133
