1647875791: Warning: Unable to drop privileges to 'mosquitto' because this user does not exist. Trying 'nobody' instead.
1647875791: mosquitto version 2.0.14 starting
1647875791: Config loaded from /etc/mosquitto/mosquitto.conf.
1647875791: Opening ipv4 listen socket on port 1883.
1647875791: Opening ipv6 listen socket on port 1883.
1647875791: mosquitto version 2.0.14 running
1647875802: New connection from 130.188.160.11:50256 on port 1883.
1647875802: New client connected from 130.188.160.11:50256 as iotaul_99adb9b9 (p2, c1, k60, u'px4').
1647875823: New connection from 130.188.160.13:36449 on port 1883.
1647875823: New client connected from 130.188.160.13:36449 as tester-pub (p2, c1, k60, u'px4').
TS2.1,1647875802.924431
/54321/drone001/attrs,TS2,1647875823.582033
/54321/drone001/attrs,TS2,1647875823.586010
/54321/drone001/attrs,TS2,1647875823.589594
/54321/drone001/attrs,TS2,1647875823.593238
/54321/drone001/attrs,TS2,1647875823.596927
/54321/drone001/attrs,TS2,1647875823.600509
/54321/drone001/attrs,TS2,1647875823.604183
/54321/drone001/attrs,TS2,1647875823.614807
/54321/drone001/attrs,TS2,1647875823.615660
/54321/drone001/attrs,TS2,1647875823.615785
/54321/drone001/attrs,TS2,1647875823.617871
/54321/drone001/attrs,TS2,1647875823.621480
/54321/drone001/attrs,TS2,1647875823.625496
/54321/drone001/attrs,TS2,1647875823.629126
/54321/drone001/attrs,TS2,1647875823.632808
/54321/drone001/attrs,TS2,1647875823.636489
/54321/drone001/attrs,TS2,1647875823.640114
/54321/drone001/attrs,TS2,1647875823.643625
/54321/drone001/attrs,TS2,1647875823.647180
/54321/drone001/attrs,TS2,1647875823.650921
/54321/drone001/attrs,TS2,1647875823.654557
/54321/drone001/attrs,TS2,1647875823.658391
/54321/drone001/attrs,TS2,1647875823.662020
/54321/drone001/attrs,TS2,1647875823.665617
/54321/drone001/attrs,TS2,1647875823.669451
/54321/drone001/attrs,TS2,1647875823.673026
/54321/drone001/attrs,TS2,1647875823.676562
/54321/drone001/attrs,TS2,1647875823.680201
/54321/drone001/attrs,TS2,1647875823.683870
/54321/drone001/attrs,TS2,1647875823.688272
/54321/drone001/attrs,TS2,1647875823.691280
/54321/drone001/attrs,TS2,1647875823.694845
/54321/drone001/attrs,TS2,1647875823.698524
/54321/drone001/attrs,TS2,1647875823.702101
/54321/drone001/attrs,TS2,1647875823.705756
/54321/drone001/attrs,TS2,1647875823.709323
/54321/drone001/attrs,TS2,1647875823.715325
/54321/drone001/attrs,TS2,1647875823.719099
/54321/drone001/attrs,TS2,1647875823.722776
/54321/drone001/attrs,TS2,1647875823.726346
/54321/drone001/attrs,TS2,1647875823.730077
/54321/drone001/attrs,TS2,1647875823.733838
/54321/drone001/attrs,TS2,1647875823.737297
/54321/drone001/attrs,TS2,1647875823.740988
