ts,cpu1,cpu2,cpu3,cpu4,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo_bytes_sent,lo_bytes_recv,lo_packets_sent,lo_packets_recv,ens3_bytes_sent,ens3_bytes_recv,ens3_packets_sent,ens3_packets_recv,docker0_bytes_sent,docker0_bytes_recv,docker0_packets_sent,docker0_packets_recv,br-e6ac0c9a60bf_bytes_sent,br-e6ac0c9a60bf_bytes_recv,br-e6ac0c9a60bf_packets_sent,br-e6ac0c9a60bf_packets_recv,vethc2e4129_bytes_sent,vethc2e4129_bytes_recv,vethc2e4129_packets_sent,vethc2e4129_packets_recv,vethf3e70a1_bytes_sent,vethf3e70a1_bytes_recv,vethf3e70a1_packets_sent,vethf3e70a1_packets_recv,vethe5e057b_bytes_sent,vethe5e057b_bytes_recv,vethe5e057b_packets_sent,vethe5e057b_packets_recv,veth5ac51d4_bytes_sent,veth5ac51d4_bytes_recv,veth5ac51d4_packets_sent,veth5ac51d4_packets_recv,veth26967c2_bytes_sent,veth26967c2_bytes_recv,veth26967c2_packets_sent,veth26967c2_packets_recv,vethdda59fb_bytes_sent,vethdda59fb_bytes_recv,vethdda59fb_packets_sent,vethdda59fb_packets_recv,veth13e81f4_bytes_sent,veth13e81f4_bytes_recv,veth13e81f4_packets_sent,veth13e81f4_packets_recv,vetha3f20d0_bytes_sent,vetha3f20d0_bytes_recv,vetha3f20d0_packets_sent,vetha3f20d0_packets_recv,veth88f56d4_bytes_sent,veth88f56d4_bytes_recv,veth88f56d4_packets_sent,veth88f56d4_packets_recv,
1648023594.7663357,0.0,0.0,0.0,0.0,16780898304,13809721344,17.7,2622648320,4489465856,1974525952,9345724416,26413,2967591,1163734016,31426610176,6486,3653192,18450048,18450048,139933,139933,131957343,1806382453,588099,1711740,0,0,0,0,68146587,77019455,553291,547623,16995795,0,77789,0,16999322,3812,77836,45,17004655,4946,77817,37,273929943,230756860,950715,645934,18812441,14415,78002,224,16994323,0,77780,0,20457032,1216525,89383,12785,266376874,261284775,984678,955813,95063858,124423662,502088,652399,
1648023595.0228126,0.0,0.0,3.8,0.0,16780898304,13809471488,17.7,2622898176,4489216000,1974525952,9345826816,26413,2967591,1163734016,31426610176,6486,3653192,18450048,18450048,139933,139933,131957343,1806382453,588099,1711740,0,0,0,0,68146587,77019455,553291,547623,16995795,0,77789,0,16999322,3812,77836,45,17004655,4946,77817,37,273929943,230756860,950715,645934,18812441,14415,78002,224,16994323,0,77780,0,20457032,1216525,89383,12785,266376874,261284775,984678,955813,95063858,124423662,502088,652399,
1648023595.2763789,0.0,0.0,3.8,0.0,16780898304,13809471488,17.7,2622898176,4489216000,1974525952,9345826816,26413,2967591,1163734016,31426610176,6486,3653192,18450048,18450048,139933,139933,131957343,1806382453,588099,1711740,0,0,0,0,68146587,77019455,553291,547623,16995795,0,77789,0,16999322,3812,77836,45,17004655,4946,77817,37,273929943,230756860,950715,645934,18812441,14415,78002,224,16994323,0,77780,0,20457032,1216525,89383,12785,266376874,261284775,984678,955813,95063858,124423662,502088,652399,
1648023595.5293708,0.0,3.8,0.0,3.8,16780898304,13809479680,17.7,2622889984,4489224192,1974525952,9345822720,26413,2967591,1163734016,31426610176,6486,3653192,18450048,18450048,139933,139933,131957343,1806382453,588099,1711740,0,0,0,0,68146587,77019455,553291,547623,16995795,0,77789,0,16999322,3812,77836,45,17004655,4946,77817,37,273930259,230757216,950719,645936,18812441,14415,78002,224,16994323,0,77780,0,20457032,1216525,89383,12785,266376874,261284775,984678,955813,95064214,124423978,502090,652403,
1648023595.7823675,0.0,0.0,0.0,0.0,16780898304,13809455104,17.7,2622914560,4489199616,1974534144,9346080768,26413,2967591,1163734016,31426610176,6486,3653192,18450048,18450048,139933,139933,131957343,1806382453,588099,1711740,0,0,0,0,68146587,77019455,553291,547623,16995795,0,77789,0,16999322,3812,77836,45,17004655,4946,77817,37,273930259,230757216,950719,645936,18812441,14415,78002,224,16994323,0,77780,0,20457032,1216525,89383,12785,266376874,261284775,984678,955813,95064214,124423978,502090,652403,
1648023596.0355592,0.0,0.0,3.8,0.0,16780898304,13809197056,17.7,2623172608,4488941568,1974530048,9346093056,26413,2967591,1163734016,31426610176,6486,3653192,18450048,18450048,139933,139933,131957343,1806382453,588099,1711740,0,0,0,0,68146587,77019455,553291,547623,16995795,0,77789,0,16999322,3812,77836,45,17004655,4946,77817,37,273930259,230757216,950719,645936,18812441,14415,78002,224,16994323,0,77780,0,20457032,1216525,89383,12785,266376874,261284775,984678,955813,95064214,124423978,502090,652403,
1648023596.2888036,0.0,0.0,0.0,0.0,16780898304,13809197056,17.7,2623172608,4488941568,1974530048,9346093056,26413,2967591,1163734016,31426610176,6486,3653192,18450048,18450048,139933,139933,131957343,1806382453,588099,1711740,0,0,0,0,68146587,77019455,553291,547623,16995795,0,77789,0,16999322,3812,77836,45,17004655,4946,77817,37,273930259,230757216,950719,645936,18812441,14415,78002,224,16994323,0,77780,0,20457032,1216525,89383,12785,266376874,261284775,984678,955813,95064214,124423978,502090,652403,
1648023596.5419157,0.0,0.0,0.0,0.0,16780898304,13809180672,17.7,2623188992,4488925184,1974530048,9346088960,26413,2967591,1163734016,31426610176,6486,3653192,18450048,18450048,139933,139933,131957343,1806382453,588099,1711740,0,0,0,0,68146587,77019455,553291,547623,16995795,0,77789,0,16999322,3812,77836,45,17004655,4946,77817,37,273930259,230757216,950719,645936,18812441,14415,78002,224,16994323,0,77780,0,20457032,1216525,89383,12785,266376874,261284775,984678,955813,95064214,124423978,502090,652403,
1648023596.7950602,3.8,0.0,0.0,0.0,16780898304,13809197056,17.7,2623172608,4488941568,1974534144,9346121728,26413,2967591,1163734016,31426610176,6486,3653192,18450048,18450048,139933,139933,131957343,1806382453,588099,1711740,0,0,0,0,68146587,77019455,553291,547623,16995795,0,77789,0,16999322,3812,77836,45,17004655,4946,77817,37,273930259,230757216,950719,645936,18812441,14415,78002,224,16994323,0,77780,0,20457032,1216525,89383,12785,266376874,261284775,984678,955813,95064214,124423978,502090,652403,
1648023597.0485432,0.0,0.0,12.0,0.0,16780898304,13809197056,17.7,2623172608,4488941568,1974530048,9346113536,26413,2967591,1163734016,31426610176,6486,3653192,18450048,18450048,139933,139933,131957343,1806382453,588099,1711740,0,0,0,0,68146587,77019455,553291,547623,16995795,0,77789,0,16999322,3812,77836,45,17004655,4946,77817,37,273930259,230757216,950719,645936,18812441,14415,78002,224,16994323,0,77780,0,20457032,1216525,89383,12785,266376874,261284775,984678,955813,95064214,124423978,502090,652403,
1648023597.3017693,0.0,0.0,0.0,3.8,16780898304,13809197056,17.7,2623172608,4488941568,1974530048,9346113536,26413,2967591,1163734016,31426610176,6486,3653192,18450048,18450048,139933,139933,131957343,1806382453,588099,1711740,0,0,0,0,68146587,77019455,553291,547623,16995795,0,77789,0,16999322,3812,77836,45,17004655,4946,77817,37,273930259,230757216,950719,645936,18812441,14415,78002,224,16994323,0,77780,0,20457032,1216525,89383,12785,266376874,261284775,984678,955813,95064214,124423978,502090,652403,
1648023597.554704,3.8,0.0,3.8,0.0,16780898304,13809205248,17.7,2623164416,4488949760,1974530048,9346109440,26413,2967591,1163734016,31426610176,6486,3653192,18450048,18450048,139933,139933,131957343,1806382453,588099,1711740,0,0,0,0,68146587,77019455,553291,547623,16995795,0,77789,0,16999322,3812,77836,45,17004655,4946,77817,37,273930259,230757216,950719,645936,18812441,14415,78002,224,16994323,0,77780,0,20457032,1216525,89383,12785,266376874,261284775,984678,955813,95064214,124423978,502090,652403,
1648023597.8079164,0.0,0.0,4.0,0.0,16780898304,13809197056,17.7,2623172608,4488941568,1974534144,9346134016,26413,2967591,1163734016,31426610176,6486,3653192,18450048,18450048,139933,139933,131957343,1806382453,588099,1711740,0,0,0,0,68146587,77019455,553291,547623,16995795,0,77789,0,16999322,3812,77836,45,17004655,4946,77817,37,273930259,230757216,950719,645936,18812441,14415,78002,224,16994323,0,77780,0,20457032,1216525,89383,12785,266376874,261284775,984678,955813,95064214,124423978,502090,652403,
1648023598.0611641,0.0,0.0,0.0,0.0,16780898304,13809197056,17.7,2623172608,4488941568,1974530048,9346146304,26413,2967591,1163734016,31426610176,6486,3653192,18450048,18450048,139933,139933,131957343,1806382453,588099,1711740,0,0,0,0,68146587,77019455,553291,547623,16995795,0,77789,0,16999322,3812,77836,45,17004655,4946,77817,37,273930259,230757216,950719,645936,18812441,14415,78002,224,16994323,0,77780,0,20457032,1216525,89383,12785,266376874,261284775,984678,955813,95064214,124423978,502090,652403,
1648023598.314517,0.0,0.0,0.0,0.0,16780898304,13809197056,17.7,2623172608,4488941568,1974530048,9346146304,26413,2967591,1163734016,31426610176,6486,3653192,18450048,18450048,139933,139933,131957343,1806382453,588099,1711740,0,0,0,0,68146587,77019455,553291,547623,16995795,0,77789,0,16999322,3812,77836,45,17004655,4946,77817,37,273930259,230757216,950719,645936,18812441,14415,78002,224,16994323,0,77780,0,20457032,1216525,89383,12785,266376874,261284775,984678,955813,95064214,124423978,502090,652403,
