ts,cpu1,cpu2,cpu3,cpu4,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo_bytes_sent,lo_bytes_recv,lo_packets_sent,lo_packets_recv,ens3_bytes_sent,ens3_bytes_recv,ens3_packets_sent,ens3_packets_recv,docker0_bytes_sent,docker0_bytes_recv,docker0_packets_sent,docker0_packets_recv,br-e6ac0c9a60bf_bytes_sent,br-e6ac0c9a60bf_bytes_recv,br-e6ac0c9a60bf_packets_sent,br-e6ac0c9a60bf_packets_recv,vethc2e4129_bytes_sent,vethc2e4129_bytes_recv,vethc2e4129_packets_sent,vethc2e4129_packets_recv,vethf3e70a1_bytes_sent,vethf3e70a1_bytes_recv,vethf3e70a1_packets_sent,vethf3e70a1_packets_recv,vethe5e057b_bytes_sent,vethe5e057b_bytes_recv,vethe5e057b_packets_sent,vethe5e057b_packets_recv,veth5ac51d4_bytes_sent,veth5ac51d4_bytes_recv,veth5ac51d4_packets_sent,veth5ac51d4_packets_recv,veth26967c2_bytes_sent,veth26967c2_bytes_recv,veth26967c2_packets_sent,veth26967c2_packets_recv,vethdda59fb_bytes_sent,vethdda59fb_bytes_recv,vethdda59fb_packets_sent,vethdda59fb_packets_recv,veth13e81f4_bytes_sent,veth13e81f4_bytes_recv,veth13e81f4_packets_sent,veth13e81f4_packets_recv,vetha3f20d0_bytes_sent,vetha3f20d0_bytes_recv,vetha3f20d0_packets_sent,vetha3f20d0_packets_recv,veth88f56d4_bytes_sent,veth88f56d4_bytes_recv,veth88f56d4_packets_sent,veth88f56d4_packets_recv,
1648023311.5600896,0.0,0.0,0.0,0.0,16780898304,13857148928,17.4,2575220736,5291032576,1962385408,8585420800,26412,2960043,1163729920,30646129664,6485,3597902,18443850,18443850,139899,139899,130575077,1803749513,567333,1690941,0,0,0,0,53036102,54756760,402907,380225,16968131,0,77663,0,16971658,3812,77710,45,16976991,4946,77691,37,178515360,146118071,649525,417158,18784777,14415,77876,224,16966659,0,77654,0,20428948,1215985,89251,12777,172128682,162367145,645937,604290,43846121,57680291,231557,305575,
1648023311.8116539,3.8,0.0,4.0,4.0,16780898304,13856890880,17.4,2575478784,5290774528,1962389504,8585695232,26412,2960053,1163729920,30646223872,6485,3597907,18443850,18443850,139899,139899,130575077,1803749513,567333,1690941,0,0,0,0,53036102,54756760,402907,380225,16968131,0,77663,0,16971658,3812,77710,45,16976991,4946,77691,37,178515360,146118071,649525,417158,18784777,14415,77876,224,16966659,0,77654,0,20428948,1215985,89251,12777,172128682,162367145,645937,604290,43846121,57680291,231557,305575,
1648023312.0650918,0.0,0.0,3.8,0.0,16780898304,13856890880,17.4,2575462400,5290774528,1962389504,8585740288,26412,2960062,1163729920,30646391808,6485,3597912,18443850,18443850,139899,139899,130575077,1803749513,567333,1690941,0,0,0,0,53036102,54756760,402907,380225,16968131,0,77663,0,16971658,3812,77710,45,16976991,4946,77691,37,178515360,146118071,649525,417158,18784777,14415,77876,224,16966659,0,77654,0,20428948,1215985,89251,12777,172128682,162367145,645937,604290,43846121,57680291,231557,305575,
1648023312.3180413,0.0,0.0,3.8,0.0,16780898304,13856899072,17.4,2575470592,5290766336,1962405888,8585711616,26412,2960062,1163729920,30646391808,6485,3597912,18443850,18443850,139899,139899,130575077,1803749513,567333,1690941,0,0,0,0,53036102,54756760,402907,380225,16968131,0,77663,0,16971658,3812,77710,45,16976991,4946,77691,37,178515360,146118071,649525,417158,18784777,14415,77876,224,16966659,0,77654,0,20428948,1215985,89251,12777,172128682,162367145,645937,604290,43846121,57680291,231557,305575,
1648023312.571066,3.8,0.0,0.0,3.8,16780898304,13856899072,17.4,2575470592,5290766336,1962405888,8585711616,26412,2960062,1163729920,30646391808,6485,3597912,18443850,18443850,139899,139899,130575077,1803749513,567333,1690941,0,0,0,0,53036102,54756760,402907,380225,16968131,0,77663,0,16971658,3812,77710,45,16976991,4946,77691,37,178515360,146118071,649525,417158,18784777,14415,77876,224,16966659,0,77654,0,20428948,1215985,89251,12777,172128682,162367145,645937,604290,43846121,57680291,231557,305575,
1648023312.8240378,0.0,3.8,0.0,0.0,16780898304,13856907264,17.4,2575462400,5290774528,1962405888,8585695232,26412,2960062,1163729920,30646391808,6485,3597912,18443850,18443850,139899,139899,130575077,1803749513,567333,1690941,0,0,0,0,53036102,54756760,402907,380225,16968131,0,77663,0,16971658,3812,77710,45,16976991,4946,77691,37,178515360,146118071,649525,417158,18784777,14415,77876,224,16966659,0,77654,0,20428948,1215985,89251,12777,172128682,162367145,645937,604290,43846121,57680291,231557,305575,
1648023313.0768669,0.0,0.0,0.0,0.0,16780898304,13856907264,17.4,2575462400,5290774528,1962405888,8585695232,26412,2960062,1163729920,30646391808,6485,3597912,18443850,18443850,139899,139899,130575077,1803749513,567333,1690941,0,0,0,0,53036102,54756760,402907,380225,16968131,0,77663,0,16971658,3812,77710,45,16976991,4946,77691,37,178515360,146118071,649525,417158,18784777,14415,77876,224,16966659,0,77654,0,20428948,1215985,89251,12777,172128682,162367145,645937,604290,43846121,57680291,231557,305575,
1648023313.329996,0.0,0.0,7.4,0.0,16780898304,13856907264,17.4,2575462400,5290774528,1962405888,8585695232,26412,2960062,1163729920,30646391808,6485,3597912,18443850,18443850,139899,139899,130575077,1803749513,567333,1690941,0,0,0,0,53036102,54756760,402907,380225,16968131,0,77663,0,16971658,3812,77710,45,16976991,4946,77691,37,178515360,146118071,649525,417158,18784777,14415,77876,224,16966659,0,77654,0,20428948,1215985,89251,12777,172128682,162367145,645937,604290,43846121,57680291,231557,305575,
1648023313.5836625,0.0,0.0,0.0,3.8,16780898304,13856907264,17.4,2575462400,5290774528,1962405888,8585695232,26412,2960062,1163729920,30646391808,6485,3597912,18443850,18443850,139899,139899,130575077,1803749513,567333,1690941,0,0,0,0,53036102,54756760,402907,380225,16968131,0,77663,0,16971658,3812,77710,45,16976991,4946,77691,37,178515360,146118071,649525,417158,18784777,14415,77876,224,16966659,0,77654,0,20428948,1215985,89251,12777,172128682,162367145,645937,604290,43846121,57680291,231557,305575,
1648023313.8366637,0.0,0.0,0.0,0.0,16780898304,13856907264,17.4,2575462400,5290774528,1962405888,8585695232,26412,2960062,1163729920,30646391808,6485,3597912,18443850,18443850,139899,139899,130575077,1803749513,567333,1690941,0,0,0,0,53036102,54756760,402907,380225,16968131,0,77663,0,16971658,3812,77710,45,16976991,4946,77691,37,178515360,146118071,649525,417158,18784777,14415,77876,224,16966659,0,77654,0,20428948,1215985,89251,12777,172128682,162367145,645937,604290,43846121,57680291,231557,305575,
