1647875730.714164
1647875730.7141967
1647875730.7141993
TS1:1647875823.1466286,TS6:1647875823.634307,lat5:487.67828941345215
TS1:1647875823.153226,TS6:1647875823.8444395,lat5:691.2136077880859
TS1:1647875823.1668923,TS6:1647875823.8464148,lat5:679.5225143432617
TS1:1647875823.1498332,TS6:1647875823.8480623,lat5:698.2290744781494
TS1:1647875823.159961,TS6:1647875823.849406,lat5:689.4450187683105
TS1:1647875823.1565812,TS6:1647875823.8536327,lat5:697.0515251159668
TS1:1647875823.163366,TS6:1647875823.855652,lat5:692.2860145568848
TS1:1647875823.1740527,TS6:1647875823.8589284,lat5:684.8757266998291
TS1:1647875823.170312,TS6:1647875823.86084,lat5:690.528154373169
TS1:1647875823.3056378,TS6:1647875824.1105378,lat5:804.8999309539795
TS1:1647875823.2580268,TS6:1647875824.1133006,lat5:855.2737236022949
TS1:1647875823.181227,TS6:1647875824.1148288,lat5:933.6018562316895
TS1:1647875823.3128855,TS6:1647875824.1171088,lat5:804.2232990264893
TS1:1647875823.2765713,TS6:1647875824.118783,lat5:842.2117233276367
TS1:1647875823.2839048,TS6:1647875824.1204877,lat5:836.5828990936279
TS1:1647875823.2068217,TS6:1647875824.1230938,lat5:916.2721633911133
TS1:1647875823.3274968,TS6:1647875824.1245987,lat5:797.1019744873047
TS1:1647875823.184851,TS6:1647875824.1262686,lat5:941.4176940917969
TS1:1647875823.243421,TS6:1647875824.1281042,lat5:884.6831321716309
TS1:1647875823.2324102,TS6:1647875824.1300213,lat5:897.611141204834
TS1:1647875823.331128,TS6:1647875824.1318886,lat5:800.7607460021973
TS1:1647875823.2141397,TS6:1647875824.1339765,lat5:919.8367595672607
TS1:1647875823.2948084,TS6:1647875824.1354175,lat5:840.609073638916
TS1:1647875823.1994474,TS6:1647875824.137409,lat5:937.9615783691406
TS1:1647875823.1958544,TS6:1647875824.1393921,lat5:943.537712097168
TS1:1647875823.23606,TS6:1647875824.141498,lat5:905.4381847381592
TS1:1647875823.33484,TS6:1647875824.1426268,lat5:807.7867031097412
TS1:1647875823.2544029,TS6:1647875824.1444564,lat5:890.0535106658936
TS1:1647875823.2105277,TS6:1647875824.1467538,lat5:936.2261295318604
TS1:1647875823.2214468,TS6:1647875824.1481473,lat5:926.7005920410156
TS1:1647875823.2690372,TS6:1647875824.1496372,lat5:880.5999755859375
TS1:1647875823.2177794,TS6:1647875824.1514506,lat5:933.671236038208
TS1:1647875823.3020442,TS6:1647875824.1528044,lat5:850.7602214813232
TS1:1647875823.316527,TS6:1647875824.1547778,lat5:838.2508754730225
TS1:1647875823.2470512,TS6:1647875824.156569,lat5:909.517765045166
TS1:1647875823.280202,TS6:1647875824.1590245,lat5:878.8225650787354
TS1:1647875823.3201451,TS6:1647875824.1617799,lat5:841.6347503662109
TS1:1647875823.2288206,TS6:1647875824.1640878,lat5:935.2672100067139
TS1:1647875823.203164,TS6:1647875824.16516,lat5:961.9958400726318
TS1:1647875823.261654,TS6:1647875824.166907,lat5:905.2531719207764
TS1:1647875823.2507706,TS6:1647875824.1694438,lat5:918.6732769012451
TS1:1647875823.2984183,TS6:1647875824.171199,lat5:872.7807998657227
TS1:1647875823.2653258,TS6:1647875824.172752,lat5:907.426118850708
TS1:1647875823.309298,TS6:1647875824.1751423,lat5:865.8442497253418
TS1:1647875823.1775746,TS6:1647875824.1771781,lat5:999.6035099029541
TS1:1647875823.18856,TS6:1647875824.179521,lat5:990.9610748291016
TS1:1647875823.2875602,TS6:1647875824.1799357,lat5:892.3754692077637
TS1:1647875823.1921792,TS6:1647875824.1827364,lat5:990.5571937561035
TS1:1647875823.2397609,TS6:1647875824.1845307,lat5:944.7698593139648
