ts,cpu1,cpu2,cpu3,cpu4,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo_bytes_sent,lo_bytes_recv,lo_packets_sent,lo_packets_recv,ens3_bytes_sent,ens3_bytes_recv,ens3_packets_sent,ens3_packets_recv,docker0_bytes_sent,docker0_bytes_recv,docker0_packets_sent,docker0_packets_recv,br-e6ac0c9a60bf_bytes_sent,br-e6ac0c9a60bf_bytes_recv,br-e6ac0c9a60bf_packets_sent,br-e6ac0c9a60bf_packets_recv,vethc2e4129_bytes_sent,vethc2e4129_bytes_recv,vethc2e4129_packets_sent,vethc2e4129_packets_recv,vethf3e70a1_bytes_sent,vethf3e70a1_bytes_recv,vethf3e70a1_packets_sent,vethf3e70a1_packets_recv,vethe5e057b_bytes_sent,vethe5e057b_bytes_recv,vethe5e057b_packets_sent,vethe5e057b_packets_recv,veth5ac51d4_bytes_sent,veth5ac51d4_bytes_recv,veth5ac51d4_packets_sent,veth5ac51d4_packets_recv,veth26967c2_bytes_sent,veth26967c2_bytes_recv,veth26967c2_packets_sent,veth26967c2_packets_recv,vethdda59fb_bytes_sent,vethdda59fb_bytes_recv,vethdda59fb_packets_sent,vethdda59fb_packets_recv,veth13e81f4_bytes_sent,veth13e81f4_bytes_recv,veth13e81f4_packets_sent,veth13e81f4_packets_recv,vetha3f20d0_bytes_sent,vetha3f20d0_bytes_recv,vetha3f20d0_packets_sent,vetha3f20d0_packets_recv,veth88f56d4_bytes_sent,veth88f56d4_bytes_recv,veth88f56d4_packets_sent,veth88f56d4_packets_recv,
1648023538.3446565,0.0,0.0,0.0,0.0,16780898304,13803884544,17.7,2628476928,4699607040,1971560448,9148551168,26412,2965729,1163729920,31184888832,6485,3639896,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16990553,0,77765,0,16994080,3812,77812,45,16999413,4946,77793,37,246575114,206470611,864673,580322,18807199,14415,77978,224,16989081,0,77756,0,20451790,1216525,89359,12785,239309648,232897192,887147,854943,80401562,105325504,424963,553722,
1648023538.6011539,0.0,3.8,0.0,0.0,16780898304,13803618304,17.7,2628751360,4699332608,1971572736,9148715008,26412,2965729,1163729920,31184888832,6485,3639896,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16990774,0,77766,0,16994301,3812,77813,45,16999634,4946,77794,37,246575335,206470611,864674,580322,18807420,14415,77979,224,16989302,0,77757,0,20452011,1216525,89360,12785,239309869,232897192,887148,854943,80401783,105325504,424964,553722,
1648023538.8545437,0.0,3.8,0.0,3.8,16780898304,13803601920,17.7,2628767744,4699316224,1971572736,9148833792,26412,2965729,1163729920,31184888832,6485,3639896,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16990995,0,77767,0,16994522,3812,77814,45,16999855,4946,77795,37,246575556,206470611,864675,580322,18807641,14415,77980,224,16989523,0,77758,0,20452232,1216525,89361,12785,239310090,232897192,887149,854943,80402004,105325504,424965,553722,
1648023539.107582,0.0,0.0,0.0,4.0,16780898304,13803593728,17.7,2628775936,4699308032,1971572736,9148878848,26412,2965729,1163729920,31184888832,6485,3639896,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991216,0,77768,0,16994743,3812,77815,45,17000076,4946,77796,37,246575777,206470611,864676,580322,18807862,14415,77981,224,16989744,0,77759,0,20452453,1216525,89362,12785,239310311,232897192,887150,854943,80402225,105325504,424966,553722,
1648023539.3602996,0.0,0.0,0.0,0.0,16780898304,13803593728,17.7,2628775936,4699308032,1971572736,9148878848,26412,2965729,1163729920,31184888832,6485,3639896,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991425,0,77769,0,16994952,3812,77816,45,17000285,4946,77797,37,246575986,206470611,864677,580322,18808071,14415,77982,224,16989953,0,77760,0,20452662,1216525,89363,12785,239310520,232897192,887151,854943,80402434,105325504,424967,553722,
1648023539.6137042,3.8,0.0,0.0,0.0,16780898304,13803319296,17.7,2629050368,4699033600,1971576832,9148891136,26412,2965729,1163729920,31184888832,6485,3639896,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991425,0,77769,0,16994952,3812,77816,45,17000285,4946,77797,37,246575986,206470611,864677,580322,18808071,14415,77982,224,16989953,0,77760,0,20452662,1216525,89363,12785,239310520,232897192,887151,854943,80402434,105325504,424967,553722,
1648023539.8668604,47.8,52.0,20.8,16.0,16780898304,13796884480,17.8,2635481088,4692598784,1971580928,9154834432,26412,2965850,1163729920,31185466368,6485,3639984,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991425,0,77769,0,16994952,3812,77816,45,17000285,4946,77797,37,246575986,206470611,864677,580322,18808071,14415,77982,224,16989953,0,77760,0,20452662,1216525,89363,12785,239310520,232897192,887151,854943,80402434,105325504,424967,553722,
1648023540.1216376,8.0,12.0,12.0,7.7,16780898304,13801816064,17.8,2630553600,4697509888,1971589120,9149247488,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991425,0,77769,0,16994952,3812,77816,45,17000285,4946,77797,37,246575986,206470611,864677,580322,18808071,14415,77982,224,16989953,0,77760,0,20452662,1216525,89363,12785,239310520,232897192,887151,854943,80402434,105325504,424967,553722,
1648023540.375384,0.0,0.0,0.0,0.0,16780898304,13801816064,17.8,2630553600,4697509888,1971589120,9149247488,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991425,0,77769,0,16994952,3812,77816,45,17000285,4946,77797,37,246576302,206470967,864681,580324,18808071,14415,77982,224,16989953,0,77760,0,20452662,1216525,89363,12785,239310520,232897192,887151,854943,80402790,105325820,424969,553726,
1648023540.6282794,0.0,3.8,0.0,3.8,16780898304,13801816064,17.8,2630553600,4697509888,1971589120,9149276160,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991634,0,77770,0,16995161,3812,77817,45,17000494,4946,77798,37,246576511,206470967,864682,580324,18808280,14415,77983,224,16990162,0,77761,0,20452871,1216525,89364,12785,239310729,232897192,887152,854943,80402999,105325820,424970,553726,
1648023540.8814116,3.8,0.0,0.0,0.0,16780898304,13801816064,17.8,2630553600,4697509888,1971589120,9149276160,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991634,0,77770,0,16995161,3812,77817,45,17000494,4946,77798,37,246576511,206470967,864682,580324,18808280,14415,77983,224,16990162,0,77761,0,20452871,1216525,89364,12785,239310729,232897192,887152,854943,80402999,105325820,424970,553726,
1648023541.1347275,3.8,0.0,3.8,3.8,16780898304,13801799680,17.8,2630569984,4697493504,1971593216,9149292544,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991634,0,77770,0,16995161,3812,77817,45,17000494,4946,77798,37,246576511,206470967,864682,580324,18808280,14415,77983,224,16990162,0,77761,0,20452871,1216525,89364,12785,239310729,232897192,887152,854943,80402999,105325820,424970,553726,
1648023541.3880553,0.0,0.0,0.0,0.0,16780898304,13801799680,17.8,2630569984,4697493504,1971593216,9149292544,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991634,0,77770,0,16995161,3812,77817,45,17000494,4946,77798,37,246576511,206470967,864682,580324,18808280,14415,77983,224,16990162,0,77761,0,20452871,1216525,89364,12785,239310729,232897192,887152,854943,80402999,105325820,424970,553726,
1648023541.641209,3.8,0.0,0.0,0.0,16780898304,13801558016,17.8,2630811648,4697251840,1971589120,9149300736,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991634,0,77770,0,16995161,3812,77817,45,17000494,4946,77798,37,246576511,206470967,864682,580324,18808280,14415,77983,224,16990162,0,77761,0,20452871,1216525,89364,12785,239310729,232897192,887152,854943,80402999,105325820,424970,553726,
1648023541.8946488,0.0,0.0,0.0,4.0,16780898304,13801558016,17.8,2630811648,4697251840,1971589120,9149300736,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991634,0,77770,0,16995161,3812,77817,45,17000494,4946,77798,37,246576511,206470967,864682,580324,18808280,14415,77983,224,16990162,0,77761,0,20452871,1216525,89364,12785,239310729,232897192,887152,854943,80402999,105325820,424970,553726,
1648023542.1473172,4.0,0.0,4.0,4.0,16780898304,13801566208,17.8,2630803456,4697260032,1971589120,9149313024,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991634,0,77770,0,16995161,3812,77817,45,17000494,4946,77798,37,246576511,206470967,864682,580324,18808280,14415,77983,224,16990162,0,77761,0,20452871,1216525,89364,12785,239310729,232897192,887152,854943,80402999,105325820,424970,553726,
1648023542.4005287,0.0,0.0,0.0,0.0,16780898304,13801574400,17.8,2630795264,4697268224,1971589120,9149313024,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991634,0,77770,0,16995161,3812,77817,45,17000494,4946,77798,37,246576511,206470967,864682,580324,18808280,14415,77983,224,16990162,0,77761,0,20452871,1216525,89364,12785,239310729,232897192,887152,854943,80402999,105325820,424970,553726,
1648023542.653567,0.0,0.0,3.8,0.0,16780898304,13801295872,17.8,2631073792,4696977408,1971589120,9149333504,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991634,0,77770,0,16995161,3812,77817,45,17000494,4946,77798,37,246576511,206470967,864682,580324,18808280,14415,77983,224,16990162,0,77761,0,20452871,1216525,89364,12785,239310729,232897192,887152,854943,80402999,105325820,424970,553726,
1648023542.9068148,0.0,0.0,0.0,0.0,16780898304,13801312256,17.8,2631057408,4696993792,1971589120,9149333504,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991843,0,77771,0,16995370,3812,77818,45,17000703,4946,77799,37,246576720,206470967,864683,580324,18808489,14415,77984,224,16990371,0,77762,0,20453080,1216525,89365,12785,239310938,232897192,887153,854943,80403208,105325820,424971,553726,
1648023543.1598315,0.0,0.0,0.0,3.8,16780898304,13801570304,17.8,2630799360,4697251840,1971589120,9149353984,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991843,0,77771,0,16995370,3812,77818,45,17000703,4946,77799,37,246576720,206470967,864683,580324,18808489,14415,77984,224,16990371,0,77762,0,20453080,1216525,89365,12785,239310938,232897192,887153,854943,80403208,105325820,424971,553726,
1648023543.4128647,0.0,0.0,0.0,0.0,16780898304,13801570304,17.8,2630799360,4697251840,1971589120,9149353984,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991843,0,77771,0,16995370,3812,77818,45,17000703,4946,77799,37,246576720,206470967,864683,580324,18808489,14415,77984,224,16990371,0,77762,0,20453080,1216525,89365,12785,239310938,232897192,887153,854943,80403208,105325820,424971,553726,
1648023543.6657662,0.0,3.8,0.0,0.0,16780898304,13801562112,17.8,2630807552,4697243648,1971589120,9149349888,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991843,0,77771,0,16995370,3812,77818,45,17000703,4946,77799,37,246576720,206470967,864683,580324,18808489,14415,77984,224,16990371,0,77762,0,20453080,1216525,89365,12785,239310938,232897192,887153,854943,80403208,105325820,424971,553726,
1648023543.9192247,0.0,0.0,0.0,3.8,16780898304,13801570304,17.8,2630799360,4697251840,1971589120,9149349888,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991843,0,77771,0,16995370,3812,77818,45,17000703,4946,77799,37,246576720,206470967,864683,580324,18808489,14415,77984,224,16990371,0,77762,0,20453080,1216525,89365,12785,239310938,232897192,887153,854943,80403208,105325820,424971,553726,
1648023544.1722708,0.0,0.0,0.0,4.0,16780898304,13801312256,17.8,2631057408,4696993792,1971589120,9149374464,26412,2965856,1163729920,31185622016,6485,3639991,18448946,18448946,139927,139927,131602374,1805659489,582770,1706401,0,0,0,0,63843136,70674309,510626,500429,16991843,0,77771,0,16995370,3812,77818,45,17000703,4946,77799,37,246576720,206470967,864683,580324,18808489,14415,77984,224,16990371,0,77762,0,20453080,1216525,89365,12785,239310938,232897192,887153,854943,80403208,105325820,424971,553726,
