ts,cpu1,cpu2,cpu3,cpu4,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo_bytes_sent,lo_bytes_recv,lo_packets_sent,lo_packets_recv,ens3_bytes_sent,ens3_bytes_recv,ens3_packets_sent,ens3_packets_recv,docker0_bytes_sent,docker0_bytes_recv,docker0_packets_sent,docker0_packets_recv,br-e6ac0c9a60bf_bytes_sent,br-e6ac0c9a60bf_bytes_recv,br-e6ac0c9a60bf_packets_sent,br-e6ac0c9a60bf_packets_recv,vethc2e4129_bytes_sent,vethc2e4129_bytes_recv,vethc2e4129_packets_sent,vethc2e4129_packets_recv,vethf3e70a1_bytes_sent,vethf3e70a1_bytes_recv,vethf3e70a1_packets_sent,vethf3e70a1_packets_recv,vethe5e057b_bytes_sent,vethe5e057b_bytes_recv,vethe5e057b_packets_sent,vethe5e057b_packets_recv,veth5ac51d4_bytes_sent,veth5ac51d4_bytes_recv,veth5ac51d4_packets_sent,veth5ac51d4_packets_recv,veth26967c2_bytes_sent,veth26967c2_bytes_recv,veth26967c2_packets_sent,veth26967c2_packets_recv,vethdda59fb_bytes_sent,vethdda59fb_bytes_recv,vethdda59fb_packets_sent,vethdda59fb_packets_recv,veth13e81f4_bytes_sent,veth13e81f4_bytes_recv,veth13e81f4_packets_sent,veth13e81f4_packets_recv,vetha3f20d0_bytes_sent,vetha3f20d0_bytes_recv,vetha3f20d0_packets_sent,vetha3f20d0_packets_recv,veth88f56d4_bytes_sent,veth88f56d4_bytes_recv,veth88f56d4_packets_sent,veth88f56d4_packets_recv,
1648022911.4806583,0.0,0.0,0.0,0.0,16780898304,13980356608,16.7,2452013056,6053703680,1947049984,7868973056,26409,2949839,1163717632,29935485952,6481,3558041,18434854,18434854,139847,139847,129239791,1801369450,547543,1671019,0,0,0,0,40062820,35533403,273697,233577,16928569,0,77482,0,16932096,3812,77529,45,16937429,4946,77510,37,96490676,73697190,385891,221274,18745215,14415,77695,224,16927097,0,77473,0,20377819,1212362,89036,12741,91501784,77776930,356205,303914,14530,6437,92,73,
1648022911.7362533,0.0,0.0,0.0,0.0,16780898304,13980356608,16.7,2452013056,6053703680,1947049984,7869075456,26409,2949839,1163717632,29935485952,6481,3558041,18434854,18434854,139847,139847,129239791,1801369450,547543,1671019,0,0,0,0,40062820,35533403,273697,233577,16928569,0,77482,0,16932096,3812,77529,45,16937429,4946,77510,37,96490676,73697190,385891,221274,18745215,14415,77695,224,16927097,0,77473,0,20377819,1212362,89036,12741,91501784,77776930,356205,303914,14530,6437,92,73,
1648022911.9971745,0.0,0.0,3.8,0.0,16780898304,13980119040,16.7,2452250624,6053462016,1947054080,7869169664,26409,2949839,1163717632,29935485952,6481,3558041,18434854,18434854,139847,139847,129239937,1801369450,547544,1671019,0,0,0,0,40062820,35533403,273697,233577,16928569,0,77482,0,16932096,3812,77529,45,16937429,4946,77510,37,96490676,73697190,385891,221274,18745215,14415,77695,224,16927097,0,77473,0,20377819,1212362,89036,12741,91501784,77776930,356205,303914,14530,6437,92,73,
1648022912.250515,0.0,0.0,0.0,7.7,16780898304,13980119040,16.7,2452250624,6053462016,1947054080,7869210624,26409,2949840,1163717632,29935514624,6481,3558042,18434854,18434854,139847,139847,129239937,1801369450,547544,1671019,0,0,0,0,40062820,35533403,273697,233577,16928569,0,77482,0,16932096,3812,77529,45,16937429,4946,77510,37,96490676,73697190,385891,221274,18745215,14415,77695,224,16927097,0,77473,0,20377819,1212362,89036,12741,91501784,77776930,356205,303914,14530,6437,92,73,
1648022912.5039277,3.8,0.0,4.0,0.0,16780898304,13980135424,16.7,2452234240,6053478400,1947054080,7869157376,26409,2949840,1163717632,29935514624,6481,3558042,18434854,18434854,139847,139847,129240083,1801369450,547545,1671019,0,0,0,0,40062820,35533403,273697,233577,16928569,0,77482,0,16932096,3812,77529,45,16937429,4946,77510,37,96490676,73697190,385891,221274,18745215,14415,77695,224,16927097,0,77473,0,20377819,1212362,89036,12741,91501784,77776930,356205,303914,14530,6437,92,73,
1648022912.7569175,0.0,7.7,0.0,0.0,16780898304,13980110848,16.7,2452258816,6053453824,1947058176,7869181952,26409,2949840,1163717632,29935514624,6481,3558042,18434854,18434854,139847,139847,129240149,1801369662,547546,1671021,0,0,0,0,40062820,35533403,273697,233577,16928569,0,77482,0,16932096,3812,77529,45,16937429,4946,77510,37,96490676,73697190,385891,221274,18745215,14415,77695,224,16927097,0,77473,0,20377819,1212362,89036,12741,91501784,77776930,356205,303914,14530,6437,92,73,
1648022913.0098135,0.0,0.0,0.0,0.0,16780898304,13980094464,16.7,2452275200,6053437440,1947058176,7869181952,26409,2949840,1163717632,29935514624,6481,3558042,18434854,18434854,139847,139847,129240149,1801369662,547546,1671021,0,0,0,0,40062820,35533403,273697,233577,16928569,0,77482,0,16932096,3812,77529,45,16937429,4946,77510,37,96490676,73697190,385891,221274,18745215,14415,77695,224,16927097,0,77473,0,20377819,1212362,89036,12741,91501784,77776930,356205,303914,14530,6437,92,73,
1648022913.2628155,3.8,0.0,0.0,0.0,16780898304,13980094464,16.7,2452275200,6053437440,1947058176,7869181952,26409,2949840,1163717632,29935514624,6481,3558042,18434854,18434854,139847,139847,129240149,1801369662,547546,1671021,0,0,0,0,40062820,35533403,273697,233577,16928569,0,77482,0,16932096,3812,77529,45,16937429,4946,77510,37,96490676,73697190,385891,221274,18745215,14415,77695,224,16927097,0,77473,0,20377819,1212362,89036,12741,91501784,77776930,356205,303914,14530,6437,92,73,
1648022913.5162215,0.0,0.0,3.8,0.0,16780898304,13979820032,16.7,2452549632,6053163008,1947058176,7869206528,26409,2949840,1163717632,29935514624,6481,3558042,18434854,18434854,139847,139847,129240149,1801369662,547546,1671021,0,0,0,0,40062820,35533403,273697,233577,16928569,0,77482,0,16932096,3812,77529,45,16937429,4946,77510,37,96490676,73697190,385891,221274,18745215,14415,77695,224,16927097,0,77473,0,20377819,1212362,89036,12741,91501784,77776930,356205,303914,14530,6437,92,73,
1648022913.7692523,0.0,0.0,0.0,0.0,16780898304,13979852800,16.7,2452516864,6053195776,1947058176,7869181952,26409,2949840,1163717632,29935514624,6481,3558042,18434854,18434854,139847,139847,129240149,1801369662,547546,1671021,0,0,0,0,40062820,35533403,273697,233577,16928569,0,77482,0,16932096,3812,77529,45,16937429,4946,77510,37,96490676,73697190,385891,221274,18745215,14415,77695,224,16927097,0,77473,0,20377819,1212362,89036,12741,91501784,77776930,356205,303914,14530,6437,92,73,
