ts,cpu1,cpu2,cpu3,cpu4,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo_bytes_sent,lo_bytes_recv,lo_packets_sent,lo_packets_recv,ens3_bytes_sent,ens3_bytes_recv,ens3_packets_sent,ens3_packets_recv,docker0_bytes_sent,docker0_bytes_recv,docker0_packets_sent,docker0_packets_recv,br-e6ac0c9a60bf_bytes_sent,br-e6ac0c9a60bf_bytes_recv,br-e6ac0c9a60bf_packets_sent,br-e6ac0c9a60bf_packets_recv,vethc2e4129_bytes_sent,vethc2e4129_bytes_recv,vethc2e4129_packets_sent,vethc2e4129_packets_recv,vethf3e70a1_bytes_sent,vethf3e70a1_bytes_recv,vethf3e70a1_packets_sent,vethf3e70a1_packets_recv,vethe5e057b_bytes_sent,vethe5e057b_bytes_recv,vethe5e057b_packets_sent,vethe5e057b_packets_recv,veth5ac51d4_bytes_sent,veth5ac51d4_bytes_recv,veth5ac51d4_packets_sent,veth5ac51d4_packets_recv,veth26967c2_bytes_sent,veth26967c2_bytes_recv,veth26967c2_packets_sent,veth26967c2_packets_recv,vethdda59fb_bytes_sent,vethdda59fb_bytes_recv,vethdda59fb_packets_sent,vethdda59fb_packets_recv,veth13e81f4_bytes_sent,veth13e81f4_bytes_recv,veth13e81f4_packets_sent,veth13e81f4_packets_recv,veth0546c36_bytes_sent,veth0546c36_bytes_recv,veth0546c36_packets_sent,veth0546c36_packets_recv,veth5b4aac4_bytes_sent,veth5b4aac4_bytes_recv,veth5b4aac4_packets_sent,veth5b4aac4_packets_recv,
1648116238.4092546,25.0,45.8,29.2,20.8,16780898304,13556670464,19.2,2875625472,4375879680,2105360384,9319661568,38930,3718670,1335300096,38929794048,8979,4603699,20015079,20015079,148379,148379,529235726,1831328407,893704,1962441,0,0,0,0,115236893,140528683,971108,994689,26146914,0,119498,0,26150371,3812,119544,45,26909223,1275642,125511,4899,571108813,484812003,2130149,1367418,27963490,14415,119710,224,26145467,0,119489,0,32282470,5095157,143767,25330,140256229,140088726,513672,545629,71800999,98418677,370493,569983,
1648116238.665453,38.5,50.0,37.0,60.0,16780898304,13556723712,19.2,2875564032,4375355392,2105376768,9320235008,38930,3718676,1335300096,38929900544,8979,4603703,20015079,20015079,148379,148379,529236848,1831330838,893721,1962458,0,0,0,0,115250200,140548152,971238,994836,26146914,0,119498,0,26150371,3812,119544,45,26909223,1275642,125511,4899,571194763,484885605,2130456,1367616,27963490,14415,119710,224,26145467,0,119489,0,32282470,5095157,143767,25330,140339090,140175527,513970,545941,71845172,98479478,370723,570325,
1648116238.9172127,16.0,12.5,20.0,54.2,16780898304,13556797440,19.2,2875502592,4375097344,2105384960,9320562688,38930,3718684,1335300096,38929994752,8979,4603709,20015079,20015079,148379,148379,529237574,1831332315,893732,1962469,0,0,0,0,115256760,140556901,971302,994902,26146914,0,119498,0,26150371,3812,119544,45,26909223,1275642,125511,4899,571235881,484920871,2130615,1367714,27963490,14415,119710,224,26145467,0,119489,0,32282470,5095157,143767,25330,140376407,140214546,514105,546081,71867711,98509280,370840,570500,
1648116239.169968,36.4,37.5,21.7,50.0,16780898304,13557055488,19.2,2875248640,4374863872,2105393152,9321037824,38930,3718689,1335300096,38930039808,8979,4603712,20015079,20015079,148379,148379,529238366,1831334153,893744,1962481,0,0,0,0,115266404,140570433,971396,995003,26146914,0,119498,0,26150371,3812,119544,45,26909223,1275642,125511,4899,571297440,484973922,2130841,1367858,27963490,14415,119710,224,26145467,0,119489,0,32282470,5095157,143767,25330,140434591,140275364,514316,546300,71900536,98553281,371010,570751,
1648116239.4235573,18.2,60.0,34.6,34.6,16780898304,13556756480,19.2,2875494400,4374171648,2105401344,9321422848,38930,3718696,1335300096,38930088960,8979,4603716,20015079,20015079,148379,148379,529239290,1831336036,893758,1962495,0,0,0,0,115275170,140583418,971480,995105,26146914,0,119498,0,26150371,3812,119544,45,26909223,1275642,125511,4899,571357256,485023923,2131059,1367991,27963490,14415,119710,224,26145467,0,119489,0,32282470,5095157,143767,25330,140491491,140335205,514512,546516,71929768,98595034,371163,570987,
1648116239.6764245,39.1,25.0,48.1,76.0,16780898304,13556432896,19.2,2875895808,4373200896,2105417728,9322303488,38930,3718702,1335300096,38930179072,8979,4603720,20015079,20015079,148379,148379,529240610,1831338870,893778,1962515,0,0,0,0,115290362,140604748,971630,995265,26146914,0,119498,0,26150371,3812,119544,45,26909223,1275642,125511,4899,571448216,485102979,2131381,1368206,27963490,14415,119710,224,26145467,0,119489,0,32282470,5095157,143767,25330,140579582,140427311,514838,546847,71978736,98660269,371420,571356,
1648116239.9292204,42.3,41.7,22.7,37.5,16780898304,13556203520,19.2,2876104704,4372484096,2105434112,9322774528,38930,3718710,1335300096,38930273280,8979,4603726,20015079,20015079,148379,148379,529241600,1831341025,893793,1962531,0,0,0,0,115301291,140620391,971737,995384,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,571514766,485159231,2131607,1368356,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,140645996,140496218,515077,547089,72011764,98706855,371597,571615,
1648116240.187048,33.3,40.0,37.5,61.5,16780898304,13556273152,19.2,2876022784,4372058112,2105450496,9323237376,38930,3718715,1335300096,38930318336,8979,4603729,20015079,20015079,148379,148379,529242524,1831343005,893807,1962544,0,0,0,0,115312426,140636946,971845,995509,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,571588237,485222104,2131871,1368526,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,140716290,140569729,515328,547350,72049597,98759239,371794,571913,
1648116240.440324,39.1,34.8,19.2,53.8,16780898304,13556535296,19.2,2875744256,4371718144,2105466880,9323847680,38930,3718723,1335300096,38930400256,8979,4603735,20015079,20015079,148379,148379,529243448,1831344893,893821,1962558,0,0,0,0,115320906,140648770,971927,995600,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,571643087,485269730,2132081,1368658,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,140768644,140621861,515511,547538,72080465,98802171,371955,572156,
1648116240.69315,56.0,64.0,42.3,29.2,16780898304,13555789824,19.2,2876489728,4370386944,2105475072,9324838912,38930,3718729,1335300096,38930486272,8979,4603739,20015079,20015079,148379,148379,529244702,1831347618,893840,1962577,0,0,0,0,115335513,140670308,972069,995764,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,571734157,485347826,2132384,1368866,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,140856985,140716653,515832,547871,72125932,98863388,372194,572500,
