1647876873: Warning: Unable to drop privileges to 'mosquitto' because this user does not exist. Trying 'nobody' instead.
1647876873: mosquitto version 2.0.14 starting
1647876873: Config loaded from /etc/mosquitto/mosquitto.conf.
1647876873: Opening ipv4 listen socket on port 1883.
1647876873: Opening ipv6 listen socket on port 1883.
1647876873: mosquitto version 2.0.14 running
1647876889: New connection from 130.188.160.11:50262 on port 1883.
1647876889: New client connected from 130.188.160.11:50262 as iotaul_5d5567fb (p2, c1, k60, u'px4').
1647876977: New connection from 130.188.160.13:39249 on port 1883.
1647876977: New client connected from 130.188.160.13:39249 as tester-pub (p2, c1, k60, u'px4').
TS2.1,1647876889.285191
/54321/drone001/attrs,TS2,1647876978.175124
/54321/drone001/attrs,TS2,1647876978.181691
/54321/drone001/attrs,TS2,1647876978.188411
/54321/drone001/attrs,TS2,1647876978.194912
/54321/drone001/attrs,TS2,1647876978.201485
/54321/drone001/attrs,TS2,1647876978.208034
/54321/drone001/attrs,TS2,1647876978.214551
/54321/drone001/attrs,TS2,1647876978.221049
/54321/drone001/attrs,TS2,1647876978.227628
/54321/drone001/attrs,TS2,1647876978.233996
/54321/drone001/attrs,TS2,1647876978.240709
/54321/drone001/attrs,TS2,1647876978.247240
/54321/drone001/attrs,TS2,1647876978.253758
/54321/drone001/attrs,TS2,1647876978.260327
/54321/drone001/attrs,TS2,1647876978.266944
/54321/drone001/attrs,TS2,1647876978.274190
/54321/drone001/attrs,TS2,1647876978.280065
/54321/drone001/attrs,TS2,1647876978.286570
/54321/drone001/attrs,TS2,1647876978.293171
/54321/drone001/attrs,TS2,1647876978.299677
/54321/drone001/attrs,TS2,1647876978.306223
/54321/drone001/attrs,TS2,1647876978.312849
/54321/drone001/attrs,TS2,1647876978.319333
/54321/drone001/attrs,TS2,1647876978.325930
/54321/drone001/attrs,TS2,1647876978.332441
/54321/drone001/attrs,TS2,1647876978.339658
/54321/drone001/attrs,TS2,1647876978.346038
/54321/drone001/attrs,TS2,1647876978.352600
/54321/drone001/attrs,TS2,1647876978.359173
/54321/drone001/attrs,TS2,1647876978.374600
/54321/drone001/attrs,TS2,1647876978.375515
/54321/drone001/attrs,TS2,1647876978.378637
/54321/drone001/attrs,TS2,1647876978.385324
/54321/drone001/attrs,TS2,1647876978.391765
/54321/drone001/attrs,TS2,1647876978.398367
/54321/drone001/attrs,TS2,1647876978.404782
/54321/drone001/attrs,TS2,1647876978.411506
/54321/drone001/attrs,TS2,1647876978.418123
/54321/drone001/attrs,TS2,1647876978.424562
/54321/drone001/attrs,TS2,1647876978.431096
/54321/drone001/attrs,TS2,1647876978.437649
/54321/drone001/attrs,TS2,1647876978.444156
/54321/drone001/attrs,TS2,1647876978.450710
/54321/drone001/attrs,TS2,1647876978.457064
/54321/drone001/attrs,TS2,1647876978.463726
/54321/drone001/attrs,TS2,1647876978.470204
/54321/drone001/attrs,TS2,1647876978.476816
/54321/drone001/attrs,TS2,1647876978.483325
/54321/drone001/attrs,TS2,1647876978.489871
/54321/drone001/attrs,TS2,1647876978.496490
/54321/drone001/attrs,TS2,1647876978.503012
/54321/drone001/attrs,TS2,1647876978.509578
/54321/drone001/attrs,TS2,1647876978.515919
/54321/drone001/attrs,TS2,1647876978.522701
/54321/drone001/attrs,TS2,1647876978.529241
/54321/drone001/attrs,TS2,1647876978.535756
/54321/drone001/attrs,TS2,1647876978.542307
/54321/drone001/attrs,TS2,1647876978.548886
/54321/drone001/attrs,TS2,1647876978.555521
/54321/drone001/attrs,TS2,1647876978.562043
/54321/drone001/attrs,TS2,1647876978.568643
/54321/drone001/attrs,TS2,1647876978.575187
/54321/drone001/attrs,TS2,1647876978.581774
/54321/drone001/attrs,TS2,1647876978.588314
/54321/drone001/attrs,TS2,1647876978.594922
/54321/drone001/attrs,TS2,1647876978.601390
/54321/drone001/attrs,TS2,1647876978.608005
/54321/drone001/attrs,TS2,1647876978.614434
/54321/drone001/attrs,TS2,1647876978.621118
/54321/drone001/attrs,TS2,1647876978.627442
/54321/drone001/attrs,TS2,1647876978.634147
/54321/drone001/attrs,TS2,1647876978.640668
/54321/drone001/attrs,TS2,1647876978.647242
/54321/drone001/attrs,TS2,1647876978.653866
/54321/drone001/attrs,TS2,1647876978.660445
/54321/drone001/attrs,TS2,1647876978.667051
/54321/drone001/attrs,TS2,1647876978.673552
/54321/drone001/attrs,TS2,1647876978.680214
/54321/drone001/attrs,TS2,1647876978.686618
/54321/drone001/attrs,TS2,1647876978.693193
/54321/drone001/attrs,TS2,1647876978.699741
/54321/drone001/attrs,TS2,1647876978.706298
/54321/drone001/attrs,TS2,1647876978.712873
/54321/drone001/attrs,TS2,1647876978.719433
/54321/drone001/attrs,TS2,1647876978.725927
/54321/drone001/attrs,TS2,1647876978.732551
/54321/drone001/attrs,TS2,1647876978.738948
/54321/drone001/attrs,TS2,1647876978.745652
/54321/drone001/attrs,TS2,1647876978.752084
/54321/drone001/attrs,TS2,1647876978.758709
/54321/drone001/attrs,TS2,1647876978.765335
/54321/drone001/attrs,TS2,1647876978.771851
/54321/drone001/attrs,TS2,1647876978.778433
/54321/drone001/attrs,TS2,1647876978.784924
/54321/drone001/attrs,TS2,1647876978.791442
/54321/drone001/attrs,TS2,1647876978.798006
/54321/drone001/attrs,TS2,1647876978.804565
/54321/drone001/attrs,TS2,1647876978.811016
/54321/drone001/attrs,TS2,1647876978.817712
/54321/drone001/attrs,TS2,1647876978.824309
/54321/drone001/attrs,TS2,1647876978.830844
/54321/drone001/attrs,TS2,1647876978.837431
/54321/drone001/attrs,TS2,1647876978.843959
/54321/drone001/attrs,TS2,1647876978.850260
/54321/drone001/attrs,TS2,1647876978.857027
/54321/drone001/attrs,TS2,1647876978.863555
/54321/drone001/attrs,TS2,1647876978.870033
/54321/drone001/attrs,TS2,1647876978.876678
/54321/drone001/attrs,TS2,1647876978.883121
/54321/drone001/attrs,TS2,1647876978.889709
/54321/drone001/attrs,TS2,1647876978.896294
/54321/drone001/attrs,TS2,1647876978.902714
/54321/drone001/attrs,TS2,1647876978.909375
/54321/drone001/attrs,TS2,1647876978.916003
/54321/drone001/attrs,TS2,1647876978.922525
/54321/drone001/attrs,TS2,1647876978.929091
/54321/drone001/attrs,TS2,1647876978.935627
/54321/drone001/attrs,TS2,1647876978.942176
/54321/drone001/attrs,TS2,1647876978.948657
/54321/drone001/attrs,TS2,1647876978.955215
/54321/drone001/attrs,TS2,1647876978.961827
/54321/drone001/attrs,TS2,1647876978.968391
/54321/drone001/attrs,TS2,1647876978.974902
/54321/drone001/attrs,TS2,1647876978.981542
