ts,cpu1,cpu2,cpu3,cpu4,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo_bytes_sent,lo_bytes_recv,lo_packets_sent,lo_packets_recv,ens3_bytes_sent,ens3_bytes_recv,ens3_packets_sent,ens3_packets_recv,docker0_bytes_sent,docker0_bytes_recv,docker0_packets_sent,docker0_packets_recv,br-e6ac0c9a60bf_bytes_sent,br-e6ac0c9a60bf_bytes_recv,br-e6ac0c9a60bf_packets_sent,br-e6ac0c9a60bf_packets_recv,vethc2e4129_bytes_sent,vethc2e4129_bytes_recv,vethc2e4129_packets_sent,vethc2e4129_packets_recv,vethf3e70a1_bytes_sent,vethf3e70a1_bytes_recv,vethf3e70a1_packets_sent,vethf3e70a1_packets_recv,vethe5e057b_bytes_sent,vethe5e057b_bytes_recv,vethe5e057b_packets_sent,vethe5e057b_packets_recv,veth5ac51d4_bytes_sent,veth5ac51d4_bytes_recv,veth5ac51d4_packets_sent,veth5ac51d4_packets_recv,veth26967c2_bytes_sent,veth26967c2_bytes_recv,veth26967c2_packets_sent,veth26967c2_packets_recv,vethdda59fb_bytes_sent,vethdda59fb_bytes_recv,vethdda59fb_packets_sent,vethdda59fb_packets_recv,veth13e81f4_bytes_sent,veth13e81f4_bytes_recv,veth13e81f4_packets_sent,veth13e81f4_packets_recv,vetha3f20d0_bytes_sent,vetha3f20d0_bytes_recv,vetha3f20d0_packets_sent,vetha3f20d0_packets_recv,veth88f56d4_bytes_sent,veth88f56d4_bytes_recv,veth88f56d4_packets_sent,veth88f56d4_packets_recv,
1648023477.6683705,0.0,0.0,3.8,0.0,16780898304,13936205824,17.0,2496163840,5015597056,1968590848,8844148736,26412,2963870,1163729920,31023105024,6485,3628035,18447362,18447362,139919,139919,131278814,1805028860,577903,1701524,0,0,0,0,60187615,65259462,474357,459736,16983939,0,77735,0,16987466,3812,77782,45,16992799,4946,77763,37,223349019,185877377,791222,524650,18800585,14415,77948,224,16982467,0,77726,0,20445176,1216525,89329,12785,216385047,208810694,804825,769126,67944607,89086491,359206,469339,
1648023477.9214385,0.0,0.0,0.0,0.0,16780898304,13936463872,17.0,2495905792,5015855104,1968590848,8844156928,26412,2963870,1163729920,31023105024,6485,3628035,18447362,18447362,139919,139919,131278814,1805028860,577903,1701524,0,0,0,0,60187615,65259462,474357,459736,16983939,0,77735,0,16987466,3812,77782,45,16992799,4946,77763,37,223349019,185877377,791222,524650,18800585,14415,77948,224,16982467,0,77726,0,20445176,1216525,89329,12785,216385047,208810694,804825,769126,67944607,89086491,359206,469339,
1648023478.174581,0.0,0.0,4.0,0.0,16780898304,13936463872,17.0,2495905792,5015855104,1968590848,8844156928,26412,2963870,1163729920,31023105024,6485,3628035,18447603,18447603,139920,139920,131279295,1805029166,577905,1701526,0,0,0,0,60188092,65259462,474359,459736,16984416,0,77737,0,16987943,3812,77784,45,16993276,4946,77765,37,223349496,185877377,791224,524650,18801062,14415,77950,224,16982944,0,77728,0,20445653,1216525,89331,12785,216385524,208810694,804827,769126,67945084,89086491,359208,469339,
1648023478.428505,3.8,7.7,0.0,0.0,16780898304,13936746496,16.9,2495619072,5016137728,1968590848,8844181504,26412,2964060,1163729920,31024034816,6485,3628178,18447603,18447603,139920,139920,131279295,1805029166,577905,1701526,0,0,0,0,60188092,65259462,474359,459736,16984846,0,77739,0,16988373,3812,77786,45,16993706,4946,77767,37,223349926,185877377,791226,524650,18801492,14415,77952,224,16983374,0,77730,0,20446083,1216525,89333,12785,216385954,208810694,804829,769126,67945514,89086491,359210,469339,
1648023478.6815908,0.0,0.0,4.0,0.0,16780898304,13936746496,16.9,2495619072,5016137728,1968590848,8844181504,26412,2964060,1163729920,31024034816,6485,3628178,18447603,18447603,139920,139920,131279295,1805029166,577905,1701526,0,0,0,0,60188092,65259462,474359,459736,16985067,0,77740,0,16988594,3812,77787,45,16993927,4946,77768,37,223350147,185877377,791227,524650,18801713,14415,77953,224,16983595,0,77731,0,20446304,1216525,89334,12785,216386175,208810694,804830,769126,67945735,89086491,359211,469339,
1648023478.9345205,3.8,0.0,0.0,0.0,16780898304,13936746496,16.9,2495619072,5016137728,1968590848,8844181504,26412,2964060,1163729920,31024034816,6485,3628178,18447603,18447603,139920,139920,131279295,1805029166,577905,1701526,0,0,0,0,60188092,65259462,474359,459736,16985288,0,77741,0,16988815,3812,77788,45,16994148,4946,77769,37,223350368,185877377,791228,524650,18801934,14415,77954,224,16983816,0,77732,0,20446525,1216525,89335,12785,216386396,208810694,804831,769126,67945956,89086491,359212,469339,
1648023479.1869774,20.0,25.0,25.9,16.7,16780898304,13931810816,17.0,2500554752,5011202048,1968590848,8851607552,26412,2964062,1163729920,31024034816,6485,3628183,18447603,18447603,139920,139920,131279295,1805029166,577905,1701526,0,0,0,0,60188092,65259462,474359,459736,16985497,0,77742,0,16989024,3812,77789,45,16994357,4946,77770,37,223350577,185877377,791229,524650,18802143,14415,77955,224,16984025,0,77733,0,20446734,1216525,89336,12785,216386605,208810694,804832,769126,67946165,89086491,359213,469339,
1648023479.4395132,32.0,8.0,37.5,8.0,16780898304,13937508352,16.9,2494857216,5016899584,1968590848,8844783616,26412,2964068,1163729920,31024206848,6485,3628187,18447603,18447603,139920,139920,131279295,1805029166,577905,1701526,0,0,0,0,60188092,65259462,474359,459736,16985497,0,77742,0,16989024,3812,77789,45,16994357,4946,77770,37,223350577,185877377,791229,524650,18802143,14415,77955,224,16984025,0,77733,0,20446734,1216525,89336,12785,216386605,208810694,804832,769126,67946165,89086491,359213,469339,
1648023479.6928995,0.0,0.0,0.0,0.0,16780898304,13937803264,16.9,2494566400,5017169920,1968607232,8844800000,26412,2964068,1163729920,31024206848,6485,3628187,18447603,18447603,139920,139920,131279295,1805029166,577905,1701526,0,0,0,0,60188092,65259462,474359,459736,16985497,0,77742,0,16989024,3812,77789,45,16994357,4946,77770,37,223350577,185877377,791229,524650,18802143,14415,77955,224,16984025,0,77733,0,20446734,1216525,89336,12785,216386605,208810694,804832,769126,67946165,89086491,359213,469339,
1648023479.945808,0.0,0.0,3.8,3.8,16780898304,13937803264,16.9,2494566400,5017169920,1968607232,8844857344,26412,2964068,1163729920,31024206848,6485,3628187,18447603,18447603,139920,139920,131279295,1805029166,577905,1701526,0,0,0,0,60188092,65259462,474359,459736,16985497,0,77742,0,16989024,3812,77789,45,16994357,4946,77770,37,223350577,185877377,791229,524650,18802143,14415,77955,224,16984025,0,77733,0,20446734,1216525,89336,12785,216386605,208810694,804832,769126,67946165,89086491,359213,469339,
