1647878102.326601
1647878102.326636
1647878102.3266382
TS1:1647878125.6808603,TS6:1647878125.93815,lat5:257.2896480560303
TS1:1647878125.7221327,TS6:1647878125.9754539,lat5:253.32117080688477
TS1:1647878125.732569,TS6:1647878125.9804244,lat5:247.85542488098145
TS1:1647878125.7429962,TS6:1647878125.983262,lat5:240.2658462524414
TS1:1647878125.7535524,TS6:1647878125.9867184,lat5:233.16597938537598
TS1:1647878125.7013931,TS6:1647878125.9907117,lat5:289.3185615539551
TS1:1647878125.6910777,TS6:1647878125.995138,lat5:304.0602207183838
TS1:1647878125.7852435,TS6:1647878126.014185,lat5:228.9414405822754
TS1:1647878125.7957838,TS6:1647878126.0176404,lat5:221.85659408569336
TS1:1647878125.7117531,TS6:1647878126.021112,lat5:309.3588352203369
TS1:1647878125.7747147,TS6:1647878126.0252404,lat5:250.52571296691895
TS1:1647878125.8063092,TS6:1647878126.044905,lat5:238.59572410583496
TS1:1647878125.8168998,TS6:1647878126.048226,lat5:231.32634162902832
TS1:1647878125.8275664,TS6:1647878126.051997,lat5:224.43056106567383
TS1:1647878125.7641077,TS6:1647878126.0555565,lat5:291.44883155822754
TS1:1647878125.8487425,TS6:1647878126.080866,lat5:232.12361335754395
TS1:1647878125.838159,TS6:1647878126.083666,lat5:245.50700187683105
TS1:1647878125.859281,TS6:1647878126.1177843,lat5:258.5031986236572
TS1:1647878125.8698444,TS6:1647878126.1261384,lat5:256.29401206970215
TS1:1647878125.9121132,TS6:1647878126.129056,lat5:216.94278717041016
TS1:1647878125.9227448,TS6:1647878126.148373,lat5:225.62813758850098
TS1:1647878125.901522,TS6:1647878126.1523652,lat5:250.84328651428223
TS1:1647878125.8803434,TS6:1647878126.1533318,lat5:272.98831939697266
TS1:1647878125.8908875,TS6:1647878126.1581187,lat5:267.2312259674072
TS1:1647878125.9333017,TS6:1647878126.1763635,lat5:243.06178092956543
TS1:1647878125.9545174,TS6:1647878126.1798306,lat5:225.3131866455078
TS1:1647878125.943897,TS6:1647878126.1840515,lat5:240.15450477600098
TS1:1647878125.965131,TS6:1647878126.2064066,lat5:241.27554893493652
TS1:1647878125.9760046,TS6:1647878126.2104292,lat5:234.42459106445312
TS1:1647878125.9865768,TS6:1647878126.2145162,lat5:227.93936729431152
TS1:1647878126.0076227,TS6:1647878126.2316036,lat5:223.98090362548828
TS1:1647878126.018214,TS6:1647878126.2356439,lat5:217.42987632751465
TS1:1647878125.9970694,TS6:1647878126.2376847,lat5:240.6153678894043
TS1:1647878126.0606525,TS6:1647878126.240292,lat5:179.6395778656006
TS1:1647878126.050058,TS6:1647878126.25808,lat5:208.0221176147461
TS1:1647878126.039501,TS6:1647878126.2619023,lat5:222.40138053894043
TS1:1647878126.028833,TS6:1647878126.263189,lat5:234.35616493225098
TS1:1647878126.0817862,TS6:1647878126.2819467,lat5:200.16050338745117
TS1:1647878126.071202,TS6:1647878126.285518,lat5:214.31589126586914
TS1:1647878126.092342,TS6:1647878126.2892542,lat5:196.91228866577148
TS1:1647878126.113561,TS6:1647878126.30291,lat5:189.34917449951172
TS1:1647878126.1029632,TS6:1647878126.3068738,lat5:203.91058921813965
TS1:1647878126.1240628,TS6:1647878126.3127651,lat5:188.70234489440918
TS1:1647878126.1557636,TS6:1647878126.3204448,lat5:164.68119621276855
TS1:1647878126.1345725,TS6:1647878126.3213358,lat5:186.76328659057617
TS1:1647878126.1451323,TS6:1647878126.3260226,lat5:180.89032173156738
TS1:1647878126.176938,TS6:1647878126.3418446,lat5:164.90650177001953
TS1:1647878126.1875718,TS6:1647878126.34502,lat5:157.44829177856445
TS1:1647878126.1663198,TS6:1647878126.348247,lat5:181.92720413208008
TS1:1647878126.1981337,TS6:1647878126.3550127,lat5:156.87894821166992
TS1:1647878126.2087493,TS6:1647878126.3584366,lat5:149.6872901916504
TS1:1647878126.2193775,TS6:1647878126.375956,lat5:156.57854080200195
TS1:1647878126.2300024,TS6:1647878126.3797567,lat5:149.75428581237793
TS1:1647878126.240594,TS6:1647878126.383853,lat5:143.25904846191406
TS1:1647878126.2511892,TS6:1647878126.3880403,lat5:136.85107231140137
TS1:1647878126.2617743,TS6:1647878126.392043,lat5:130.26881217956543
TS1:1647878126.2723718,TS6:1647878126.4037821,lat5:131.4103603363037
TS1:1647878126.282909,TS6:1647878126.4051218,lat5:122.21288681030273
TS1:1647878126.293522,TS6:1647878126.4205072,lat5:126.98531150817871
TS1:1647878126.3146737,TS6:1647878126.4302452,lat5:115.57149887084961
TS1:1647878126.325286,TS6:1647878126.4339783,lat5:108.69240760803223
TS1:1647878126.3040757,TS6:1647878126.4371624,lat5:133.0866813659668
TS1:1647878126.3358607,TS6:1647878126.4400942,lat5:104.2335033416748
TS1:1647878126.357117,TS6:1647878126.4513078,lat5:94.19083595275879
TS1:1647878126.378319,TS6:1647878126.466589,lat5:88.26994895935059
TS1:1647878126.367727,TS6:1647878126.467323,lat5:99.59602355957031
TS1:1647878126.3464918,TS6:1647878126.469257,lat5:122.76530265808105
TS1:1647878126.3888843,TS6:1647878126.4711094,lat5:82.22508430480957
TS1:1647878126.4101408,TS6:1647878126.4771051,lat5:66.96438789367676
TS1:1647878126.399549,TS6:1647878126.4842644,lat5:84.71536636352539
TS1:1647878126.4207616,TS6:1647878126.4863365,lat5:65.57488441467285
TS1:1647878126.431975,TS6:1647878126.4976788,lat5:65.7038688659668
TS1:1647878126.442565,TS6:1647878126.5024028,lat5:59.83781814575195
TS1:1647878126.453169,TS6:1647878126.505159,lat5:51.98979377746582
TS1:1647878126.4637885,TS6:1647878126.5099328,lat5:46.14424705505371
TS1:1647878126.4743474,TS6:1647878126.5152483,lat5:40.90094566345215
TS1:1647878126.4848735,TS6:1647878126.5287294,lat5:43.855905532836914
TS1:1647878126.4954927,TS6:1647878126.5364819,lat5:40.98916053771973
TS1:1647878126.5060048,TS6:1647878126.5473745,lat5:41.36967658996582
TS1:1647878126.5165849,TS6:1647878126.5505598,lat5:33.97488594055176
TS1:1647878126.527165,TS6:1647878126.55837,lat5:31.205177307128906
TS1:1647878126.5377524,TS6:1647878126.5625985,lat5:24.84607696533203
TS1:1647878126.54833,TS6:1647878126.568504,lat5:20.174026489257812
TS1:1647878126.55893,TS6:1647878126.572645,lat5:13.715028762817383
TS1:1647878126.5695353,TS6:1647878126.5808742,lat5:11.338949203491211
TS1:1647878126.5800626,TS6:1647878126.5925841,lat5:12.521505355834961
TS1:1647878126.5906706,TS6:1647878126.607915,lat5:17.244338989257812
TS1:1647878126.6012435,TS6:1647878126.6131508,lat5:11.907339096069336
TS1:1647878126.6118608,TS6:1647878126.6281226,lat5:16.261816024780273
TS1:1647878126.6224184,TS6:1647878126.6328883,lat5:10.469913482666016
TS1:1647878126.6330037,TS6:1647878126.6428103,lat5:9.806632995605469
TS1:1647878126.6435924,TS6:1647878126.655802,lat5:12.209653854370117
TS1:1647878126.6541855,TS6:1647878126.6649268,lat5:10.741233825683594
TS1:1647878126.6647146,TS6:1647878126.6739888,lat5:9.27424430847168
TS1:1647878126.6752105,TS6:1647878126.6847613,lat5:9.550809860229492
TS1:1647878126.6858325,TS6:1647878126.6955516,lat5:9.719133377075195
TS1:1647878126.6964235,TS6:1647878126.7058265,lat5:9.402990341186523
TS1:1647878126.7070506,TS6:1647878126.7180734,lat5:11.022806167602539
TS1:1647878126.7176454,TS6:1647878126.7290814,lat5:11.435985565185547
TS1:1647878126.7282398,TS6:1647878126.7399986,lat5:11.758804321289062
TS1:1647878126.738858,TS6:1647878126.7532282,lat5:14.370203018188477
TS1:1647878126.7494218,TS6:1647878126.7680252,lat5:18.60332489013672
TS1:1647878126.7600243,TS6:1647878126.784623,lat5:24.59859848022461
TS1:1647878126.7706115,TS6:1647878126.8034782,lat5:32.866716384887695
TS1:1647878126.7811997,TS6:1647878126.814709,lat5:33.509254455566406
TS1:1647878126.7918055,TS6:1647878126.822584,lat5:30.77840805053711
TS1:1647878126.8023024,TS6:1647878126.8269408,lat5:24.63841438293457
TS1:1647878126.8129108,TS6:1647878126.833909,lat5:20.998239517211914
TS1:1647878126.823599,TS6:1647878126.8401,lat5:16.50094985961914
TS1:1647878126.8340583,TS6:1647878126.8468277,lat5:12.769460678100586
TS1:1647878126.844608,TS6:1647878126.8588576,lat5:14.249563217163086
TS1:1647878126.8551674,TS6:1647878126.8673782,lat5:12.210845947265625
TS1:1647878126.8657892,TS6:1647878126.8761144,lat5:10.325193405151367
TS1:1647878126.8763618,TS6:1647878126.8852835,lat5:8.921623229980469
TS1:1647878126.8869815,TS6:1647878126.8969083,lat5:9.926795959472656
