ts,cpu1,cpu2,cpu3,cpu4,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo_bytes_sent,lo_bytes_recv,lo_packets_sent,lo_packets_recv,ens3_bytes_sent,ens3_bytes_recv,ens3_packets_sent,ens3_packets_recv,docker0_bytes_sent,docker0_bytes_recv,docker0_packets_sent,docker0_packets_recv,br-e6ac0c9a60bf_bytes_sent,br-e6ac0c9a60bf_bytes_recv,br-e6ac0c9a60bf_packets_sent,br-e6ac0c9a60bf_packets_recv,vethc2e4129_bytes_sent,vethc2e4129_bytes_recv,vethc2e4129_packets_sent,vethc2e4129_packets_recv,vethf3e70a1_bytes_sent,vethf3e70a1_bytes_recv,vethf3e70a1_packets_sent,vethf3e70a1_packets_recv,vethe5e057b_bytes_sent,vethe5e057b_bytes_recv,vethe5e057b_packets_sent,vethe5e057b_packets_recv,veth5ac51d4_bytes_sent,veth5ac51d4_bytes_recv,veth5ac51d4_packets_sent,veth5ac51d4_packets_recv,veth26967c2_bytes_sent,veth26967c2_bytes_recv,veth26967c2_packets_sent,veth26967c2_packets_recv,vethdda59fb_bytes_sent,vethdda59fb_bytes_recv,vethdda59fb_packets_sent,vethdda59fb_packets_recv,veth13e81f4_bytes_sent,veth13e81f4_bytes_recv,veth13e81f4_packets_sent,veth13e81f4_packets_recv,vetha3f20d0_bytes_sent,vetha3f20d0_bytes_recv,vetha3f20d0_packets_sent,vetha3f20d0_packets_recv,veth88f56d4_bytes_sent,veth88f56d4_bytes_recv,veth88f56d4_packets_sent,veth88f56d4_packets_recv,
1648023053.81392,0.0,0.0,0.0,0.0,16780898304,13913313280,17.1,2519056384,5773967360,1952493568,8130555904,26411,2953702,1163725824,30153159680,6482,3571197,18437953,18437953,139864,139864,129687612,1802160029,554131,1677617,0,0,0,0,44377267,41976672,316595,282912,16942443,0,77546,0,16945970,3812,77593,45,16951303,4946,77574,37,124030678,97919324,475705,286815,18759089,14415,77759,224,16940971,0,77537,0,20391693,1212362,89100,12741,118472432,106069675,453217,404440,14651395,19420274,77159,104158,
1648023054.0655732,0.0,4.0,0.0,3.8,16780898304,13913321472,17.1,2519048192,5773975552,1952497664,8130682880,26411,2953702,1163725824,30153159680,6482,3571197,18437953,18437953,139864,139864,129687612,1802160029,554131,1677617,0,0,0,0,44377267,41976672,316595,282912,16942443,0,77546,0,16945970,3812,77593,45,16951303,4946,77574,37,124030678,97919324,475705,286815,18759089,14415,77759,224,16940971,0,77537,0,20391693,1212362,89100,12741,118472432,106069675,453217,404440,14651395,19420274,77159,104158,
1648023054.3190525,3.8,0.0,0.0,0.0,16780898304,13913321472,17.1,2519048192,5773975552,1952497664,8130682880,26411,2953702,1163725824,30153159680,6482,3571197,18437953,18437953,139864,139864,129687612,1802160029,554131,1677617,0,0,0,0,44377267,41976672,316595,282912,16942443,0,77546,0,16945970,3812,77593,45,16951303,4946,77574,37,124030678,97919324,475705,286815,18759089,14415,77759,224,16940971,0,77537,0,20391693,1212362,89100,12741,118472432,106069675,453217,404440,14651395,19420274,77159,104158,
1648023054.572335,11.5,0.0,0.0,3.8,16780898304,13913321472,17.1,2519048192,5773975552,1952501760,8130686976,26411,2953702,1163725824,30153159680,6482,3571197,18437953,18437953,139864,139864,129687612,1802160029,554131,1677617,0,0,0,0,44377267,41976672,316595,282912,16942443,0,77546,0,16945970,3812,77593,45,16951303,4946,77574,37,124030678,97919324,475705,286815,18759089,14415,77759,224,16940971,0,77537,0,20391693,1212362,89100,12741,118472432,106069675,453217,404440,14651395,19420274,77159,104158,
1648023054.826565,7.7,0.0,0.0,3.8,16780898304,13913354240,17.1,2519015424,5774008320,1952501760,8131018752,26411,2953702,1163725824,30153159680,6482,3571197,18437953,18437953,139864,139864,129687612,1802160029,554131,1677617,0,0,0,0,44377267,41976672,316595,282912,16942443,0,77546,0,16945970,3812,77593,45,16951303,4946,77574,37,124030994,97919680,475709,286817,18759089,14415,77759,224,16940971,0,77537,0,20391693,1212362,89100,12741,118472432,106069675,453217,404440,14651751,19420590,77161,104162,
1648023055.0795026,0.0,0.0,0.0,0.0,16780898304,13913354240,17.1,2519015424,5774008320,1952505856,8131055616,26411,2953702,1163725824,30153159680,6482,3571197,18437953,18437953,139864,139864,129687612,1802160029,554131,1677617,0,0,0,0,44377267,41976672,316595,282912,16942443,0,77546,0,16945970,3812,77593,45,16951303,4946,77574,37,124030994,97919680,475709,286817,18759089,14415,77759,224,16940971,0,77537,0,20391693,1212362,89100,12741,118472432,106069675,453217,404440,14651751,19420590,77161,104162,
1648023055.3326216,0.0,3.8,0.0,3.8,16780898304,13913354240,17.1,2519015424,5774008320,1952509952,8131059712,26411,2953702,1163725824,30153159680,6482,3571197,18437953,18437953,139864,139864,129687612,1802160029,554131,1677617,0,0,0,0,44377267,41976672,316595,282912,16942443,0,77546,0,16945970,3812,77593,45,16951303,4946,77574,37,124030994,97919680,475709,286817,18759089,14415,77759,224,16940971,0,77537,0,20391693,1212362,89100,12741,118472432,106069675,453217,404440,14651751,19420590,77161,104162,
1648023055.5853112,20.8,9.1,66.7,21.7,16780898304,13906345984,17.1,2526019584,5767000064,1952505856,8138227712,26411,2953702,1163725824,30153159680,6482,3571197,18437953,18437953,139864,139864,129687612,1802160029,554131,1677617,0,0,0,0,44377267,41976672,316595,282912,16942443,0,77546,0,16945970,3812,77593,45,16951303,4946,77574,37,124030994,97919680,475709,286817,18759089,14415,77759,224,16940971,0,77537,0,20391693,1212362,89100,12741,118472432,106069675,453217,404440,14651751,19420590,77161,104162,
1648023055.8458211,3.7,10.7,11.1,11.1,16780898304,13912764416,17.1,2519605248,5773402112,1952526336,8131760128,26411,2953708,1163725824,30153335808,6482,3571202,18437953,18437953,139864,139864,129687612,1802160029,554131,1677617,0,0,0,0,44377267,41976672,316595,282912,16942443,0,77546,0,16945970,3812,77593,45,16951303,4946,77574,37,124030994,97919680,475709,286817,18759089,14415,77759,224,16940971,0,77537,0,20391693,1212362,89100,12741,118472432,106069675,453217,404440,14651751,19420590,77161,104162,
1648023056.099176,0.0,0.0,0.0,0.0,16780898304,13912821760,17.1,2519547904,5773459456,1952522240,8131694592,26411,2953708,1163725824,30153335808,6482,3571202,18437953,18437953,139864,139864,129687612,1802160029,554131,1677617,0,0,0,0,44377267,41976672,316595,282912,16942443,0,77546,0,16945970,3812,77593,45,16951303,4946,77574,37,124030994,97919680,475709,286817,18759089,14415,77759,224,16940971,0,77537,0,20391693,1212362,89100,12741,118472432,106069675,453217,404440,14651751,19420590,77161,104162,
